t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,r90_over_r50,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,rho_core,rho_mid,rho_far,mass_core,mass_mid,mass_far,mass_core_frac,mass_mid_frac,mass_far_frac,contrast_im,contrast_mf,two_scale,N,dx
0.0,0.9999999999999998,0.08190339203884786,87.07920985868627,2.3516116187649283,2.0615528128088303,2.958039891549808,3.5,0.0,0.0,0.2945243112740431,9.42477796076938,0.9370255260122592,0.0,0.0,0.0,True,1.697749375254331,7,1.1866877982896216,0.5933438991448108,False,0.04246729177081002,0.005383268522423376,1.6215221008622218e-11,0.1008598179556738,0.5396726693729434,4.967269458650026e-07,0.10085981795567382,0.5396726693729436,4.967269458650027e-07,7.888755984197607,331988600.0666225,True,64,0.5
0.01,33.677666642670495,0.06450919875656332,14125.833668994534,15.764077810160277,15.580436450882884,19.150718002205558,20.83266665599966,0.022542713434093642,0.00012143945448437484,0.2945243112740431,9.42477796076938,0.9981279546157179,0.002403476013403615,6.340006056652577e-06,6.35618013295615e-08,True,1.3371041768742717,21,1.711499967172251,0.8557499835861255,False,0.045593441393061,0.006253844322681903,0.0009963128575283867,0.10828442330851987,0.6269478933488607,30.520425381988645,0.00321531846185925,0.018616132168566012,0.906251187346764,7.290466318085238,6.276988473476284,True,64,0.5
0.02,66.24467965608613,0.0696853124378022,15677.185708702307,15.87640588718037,15.644487847162015,19.196353820452465,20.868636754709208,0.03725835057611163,0.0005240925417745732,0.2945243112740431,9.42477796076938,0.9990503203554513,0.007145817750077587,1.9865634824576008e-05,1.9966964189722262e-07,True,1.333929046357045,19,1.655344272701427,0.8276721363507135,False,0.049292733466881705,0.007393579630044586,0.0019907700617611173,0.11707024198384405,0.7412063579119698,60.98400584070147,0.001767239914082495,0.011188919046178412,0.9205872253787653,6.666964573773645,3.713929484906921,True,64,0.5
0.03,99.0505235454375,0.09887500145436219,16103.52173079372,15.914822548491868,15.692354826475215,19.196353820452465,20.868636754709208,0.0548747975035957,0.0011824751972832378,0.2945243112740431,9.42477796076938,0.9993520236061743,0.014804278874443697,4.343882193302628e-05,4.377605343711725e-07,True,1.329860112486169,10,1.3365046175719757,0.6682523087859878,False,0.047652984834106155,0.008475122523938346,0.0029932444260826045,0.11317583898100211,0.8496310330248191,91.69317897084821,0.001142607175913461,0.00857775408562144,0.9257212954435899,5.622689784071943,2.831416789784229,False,64,0.5
0.04,131.66395178001665,0.10643714372224214,16249.32478322984,15.933798254755747,15.692354826475215,19.20286436967152,20.89258241577618,0.07705591117669143,0.002071465471803209,0.2945243112740431,9.42477796076938,0.9995006665720559,0.02483652980742751,7.701225304140326e-05,7.782374368773326e-07,True,1.3313860568923312,9,1.2903810207421493,0.6451905103710747,False,0.05232966936616664,0.009471768686973097,0.00398634637468345,0.12428296474464577,0.949544810869053,122.11524337556864,0.0009439407147090422,0.007211881445390207,0.9274766686298317,5.524804405130557,2.376052604742666,False,64,0.5
0.05,164.18419604447183,0.12731421347090052,16298.096458232198,15.948324376538707,15.700318468107582,19.20286436967152,20.886598574205422,0.10193679269446222,0.0031684391331367905,0.2945243112740431,9.42477796076938,0.9996181611863793,0.03670210847604019,0.00012026362910622997,1.2187103620291915e-06,True,1.3303296118886283,6,1.1272516517868265,0.5636258258934133,False,0.05268297991799733,0.010487224807958925,0.004978566816671247,0.12512207730524366,1.0513442869978822,152.51030425764657,0.0007620835641900175,0.006403443890014294,0.9288975914364912,5.023538722848333,2.106474653075131,False,64,0.5
0.06,196.84985527070256,0.14327926104454078,16336.811418886218,15.950776787856803,15.700318468107582,19.20286436967152,20.868636754709208,0.12342715489339316,0.004455020105619112,0.2945243112740431,9.42477796076938,0.9996965072252127,0.049962251468128514,0.0001728913285587057,1.7569536952205724e-06,True,1.3291855701589843,3,0.8947002289396495,0.44735011446982476,False,0.05310989452640557,0.011736977137200766,0.005976132328103364,0.12613599950021323,1.1766319580043767,183.0691026564134,0.0006407726301182921,0.005977306695939931,0.9299935852361271,4.525006218004112,1.963975443115014,False,64,0.5
0.07,229.4367420907684,0.13659217158832807,16386.319837416875,15.968909632659328,15.724185193516387,19.215878850575635,20.89258241577618,0.15527047557336063,0.0059133685500757874,0.2945243112740431,9.42477796076938,0.9997391246977735,0.06444891248256768,0.00023531246639995097,2.3980308990662025e-06,True,1.3286909406530583,16,1.563185283593544,0.781592641796772,False,0.05356718922504062,0.012775434720117615,0.006971113025530852,0.12722207440947148,1.2807373306917909,213.54871947847116,0.0005544973889105374,0.005582093430289004,0.9307520562421004,4.192983675200327,1.8326248151950977,False,64,0.5
0.08,261.99312843892943,0.10570504465252066,16391.313982362924,15.977763356199217,15.724185193516387,19.222382786741086,20.89258241577618,0.1786355747224209,0.007525511717740068,0.2945243112740431,9.42477796076938,0.9997813778477364,0.07953765219999026,0.00030616346555521843,3.12888266436105e-06,True,1.3286909406530583,345,4.350877227410777,2.1754386137053885,False,0.05331059253083944,0.013518977000467301,0.007965499305336717,0.12661265726074367,1.355277444296847,244.01012728261912,0.000483267091832361,0.005172950345576571,0.9313607907830982,3.9433895426404444,1.6971914103877797,False,64,0.5
0.09,294.54011397669876,0.1374232075556449,16410.66350849701,15.982348433094238,15.724185193516387,19.222382786741086,20.89258241577618,0.19134448031389711,0.009277868659994887,0.2945243112740431,9.42477796076938,0.9998050633840634,0.09520665495113374,0.0003859945747701248,3.955880334278861e-06,True,1.3286909406530583,133,3.1665596774742406,1.5832798387371203,False,0.058775437682581755,0.014601002589094062,0.008958681170369227,0.13959166449613167,1.4637505095566796,274.4346397973594,0.00047393091084080606,0.004969613441761884,0.9317394364119452,4.025438480949448,1.6298160757619964,False,64,0.5
