snap,t,r,rho_shell
ic,0.0,0.28867513459481287,0.055279498378614324
ic,0.0,0.8660254037844386,0.023791215367930513
ic,0.0,1.4433756729740643,0.01240263904882831
ic,0.0,2.02072594216369,0.007096620974744935
ic,0.0,2.598076211353316,0.003656849922529794
ic,0.0,3.1754264805429413,0.001702755791129869
ic,0.0,3.752776749732567,0.0006285672612766182
ic,0.0,4.330127018922193,0.00019723194504489146
ic,0.0,4.907477288111819,5.291964347010618e-05
ic,0.0,5.484827557301445,1.1901718227926159e-05
ic,0.0,6.0621778264910695,2.285110105700871e-06
ic,0.0,6.639528095680696,3.80352954931771e-07
ic,0.0,7.216878364870322,5.364894642864149e-08
ic,0.0,7.794228634059947,6.115962363533983e-09
ic,0.0,8.371578903249572,5.894482932887665e-10
ic,0.0,8.948929172439199,5.009407657830126e-11
ic,0.0,9.526279441628825,3.711148013430051e-12
ic,0.0,10.103629710818451,2.3854926069234536e-13
ic,0.0,10.680979980008075,1.2274847982626751e-14
ic,0.0,11.258330249197702,5.377545934172437e-16
ic,0.0,11.835680518387328,1.8806182530382652e-17
ic,0.0,12.413030787576954,6.021368583071954e-19
ic,0.0,12.990381056766578,1.5846102138783202e-20
ic,0.0,13.567731325956204,3.6504595977309103e-22
ic,0.0,14.14508159514583,7.283660394187045e-24
ic,0.0,14.722431864335457,1.1136778679015234e-25
ic,0.0,15.299782133525081,1.5517556589559216e-27
ic,0.0,15.877132402714707,1.858519937057007e-29
ic,0.0,16.45448267190433,1.8974605011023778e-31
ic,0.0,17.03183294109396,1.5653572578618827e-33
ic,0.0,17.609183210283582,1.1625740326879048e-35
ic,0.0,18.186533479473212,6.63499469172944e-38
ic,0.0,18.763883748662835,3.3226102586857945e-40
ic,0.0,19.341234017852464,1.4741290177913104e-42
ic,0.0,19.918584287042087,5.21514877212207e-45
ic,0.0,20.495934556231717,1.9370994603165968e-47
ic,0.0,21.07328482542134,4.603364666180903e-50
ic,0.0,21.650635094610962,1.0828813796553281e-52
ic,0.0,22.22798536380059,2.0561267536182086e-55
ic,0.0,22.805335632990214,3.4737413454786715e-58
ic,0.0,23.382685902179844,4.253030566269631e-61
ic,0.0,23.960036171369467,6.103983640770414e-64
ic,0.0,24.537386440559096,6.19787638598687e-67
ic,0.0,25.11473670974872,6.637049636525008e-70
ic,0.0,25.69208697893834,5.691387273245538e-73
ic,0.0,26.26943724812797,4.3804792574742084e-76
ic,0.0,26.846787517317594,2.838780782319009e-79
ic,0.0,27.424137786507224,1.547702983141877e-82
t002,0.02,0.28867513459481287,0.058725571667508865
t002,0.02,0.8660254037844386,0.028217745624242813
t002,0.02,1.4433756729740643,0.014843060304339085
t002,0.02,2.02072594216369,0.008837521775776465
t002,0.02,2.598076211353316,0.005602188404686897
t002,0.02,3.1754264805429413,0.003651873811185256
t002,0.02,3.752776749732567,0.0025950848611951604
t002,0.02,4.330127018922193,0.0021654567123118775
t002,0.02,4.907477288111819,0.002081698179320681
t002,0.02,5.484827557301445,0.0020756955229891028
t002,0.02,6.0621778264910695,0.002010969609424835
t002,0.02,6.639528095680696,0.0018804166711088187
t002,0.02,7.216878364870322,0.0019962849081128953
t002,0.02,7.794228634059947,0.0020161889473794587
t002,0.02,8.371578903249572,0.001979075937874273
t002,0.02,8.948929172439199,0.001982517187081059
t002,0.02,9.526279441628825,0.0019810708683066286
t002,0.02,10.103629710818451,0.0020235815361186902
t002,0.02,10.680979980008075,0.001938733305172621
t002,0.02,11.258330249197702,0.002057735694304988
t002,0.02,11.835680518387328,0.002049061028268324
t002,0.02,12.413030787576954,0.001983005346225101
t002,0.02,12.990381056766578,0.001994466685460979
t002,0.02,13.567731325956204,0.0020386847641004372
t002,0.02,14.14508159514583,0.0019787941648402793
t002,0.02,14.722431864335457,0.002005461130509816
t002,0.02,15.299782133525081,0.0020063131076460084
t002,0.02,15.877132402714707,0.0019912020680437855
t002,0.02,16.45448267190433,0.001952069766638033
t002,0.02,17.03183294109396,0.001971686171511731
t002,0.02,17.609183210283582,0.001981874553247639
t002,0.02,18.186533479473212,0.001973460829372186
t002,0.02,18.763883748662835,0.0019267795070449275
t002,0.02,19.341234017852464,0.002005270823570361
t002,0.02,19.918584287042087,0.0019834882944923336
t002,0.02,20.495934556231717,0.0020268877979508727
t002,0.02,21.07328482542134,0.0019817669271540534
t002,0.02,21.650635094610962,0.002003849115663218
t002,0.02,22.22798536380059,0.001981928400378497
t002,0.02,22.805335632990214,0.001908668451407375
t002,0.02,23.382685902179844,0.0020209533184558713
t002,0.02,23.960036171369467,0.002024123947581435
t002,0.02,24.537386440559096,0.0021413620011464796
t002,0.02,25.11473670974872,0.0020542948412585705
t002,0.02,25.69208697893834,0.00196710348628748
t002,0.02,26.26943724812797,0.0021208415384902568
t002,0.02,26.846787517317594,0.0019871131706886654
t002,0.02,27.424137786507224,0.00163062709944879
early,0.1,0.28867513459481287,0.08585605737862677
early,0.1,0.8660254037844386,0.03243033920395491
early,0.1,1.4433756729740643,0.02142197457181431
early,0.1,2.02072594216369,0.017425394114619297
early,0.1,2.598076211353316,0.013371543829969726
early,0.1,3.1754264805429413,0.011171460193061315
early,0.1,3.752776749732567,0.010536650477728818
early,0.1,4.330127018922193,0.009954871213805299
early,0.1,4.907477288111819,0.009726248731950205
early,0.1,5.484827557301445,0.010360925697318663
early,0.1,6.0621778264910695,0.010000166813476274
early,0.1,6.639528095680696,0.009852420564888548
early,0.1,7.216878364870322,0.009884260937256348
early,0.1,7.794228634059947,0.0100699860044782
early,0.1,8.371578903249572,0.009683575194418441
early,0.1,8.948929172439199,0.009781188412346696
early,0.1,9.526279441628825,0.009979027165326634
early,0.1,10.103629710818451,0.009864034365113919
early,0.1,10.680979980008075,0.0098225340412454
early,0.1,11.258330249197702,0.009947217156844651
early,0.1,11.835680518387328,0.01010363662304707
early,0.1,12.413030787576954,0.009954150138015129
early,0.1,12.990381056766578,0.009808469312003193
early,0.1,13.567731325956204,0.009907089779394819
early,0.1,14.14508159514583,0.010090346126413912
early,0.1,14.722431864335457,0.010062138151699639
early,0.1,15.299782133525081,0.010014245586368995
early,0.1,15.877132402714707,0.010020192990063483
early,0.1,16.45448267190433,0.009981917488565646
early,0.1,17.03183294109396,0.009856663502806394
early,0.1,17.609183210283582,0.009843392838457221
early,0.1,18.186533479473212,0.010089094320935866
early,0.1,18.763883748662835,0.00993908684549332
early,0.1,19.341234017852464,0.009990508318287848
early,0.1,19.918584287042087,0.009777755802808277
early,0.1,20.495934556231717,0.010041153617267175
early,0.1,21.07328482542134,0.00997470445078751
early,0.1,21.650635094610962,0.010061860386561039
early,0.1,22.22798536380059,0.009847240170073664
early,0.1,22.805335632990214,0.009944637839547419
early,0.1,23.382685902179844,0.009860265294652249
early,0.1,23.960036171369467,0.009840564111014366
early,0.1,24.537386440559096,0.010051850250955601
early,0.1,25.11473670974872,0.01006777739823057
early,0.1,25.69208697893834,0.01032530359815447
early,0.1,26.26943724812797,0.009212251678211133
early,0.1,26.846787517317594,0.011207858245572778
early,0.1,27.424137786507224,0.008890039394530784
mid,4.0,0.28867513459481287,0.29182769451527857
mid,4.0,0.8660254037844386,0.3334086257466469
mid,4.0,1.4433756729740643,0.31223393222410223
mid,4.0,2.02072594216369,0.3175320779672759
mid,4.0,2.598076211353316,0.32210624898269374
mid,4.0,3.1754264805429413,0.3391611963464446
mid,4.0,3.752776749732567,0.34218650532290795
mid,4.0,4.330127018922193,0.33092484020143553
mid,4.0,4.907477288111819,0.3339691886256501
mid,4.0,5.484827557301445,0.32369100416215035
mid,4.0,6.0621778264910695,0.31572334386418494
mid,4.0,6.639528095680696,0.3226250547298892
mid,4.0,7.216878364870322,0.3212812728700966
mid,4.0,7.794228634059947,0.3278426889937504
mid,4.0,8.371578903249572,0.3290752533450421
mid,4.0,8.948929172439199,0.3403560121204874
mid,4.0,9.526279441628825,0.33186246228108846
mid,4.0,10.103629710818451,0.330661234002672
mid,4.0,10.680979980008075,0.3185625027396309
mid,4.0,11.258330249197702,0.3346540587010491
mid,4.0,11.835680518387328,0.33117201526424056
mid,4.0,12.413030787576954,0.3285304065574421
mid,4.0,12.990381056766578,0.32991206345116336
mid,4.0,13.567731325956204,0.334044078038432
mid,4.0,14.14508159514583,0.32554610457854743
mid,4.0,14.722431864335457,0.3277312005920877
mid,4.0,15.299782133525081,0.3251217917103901
mid,4.0,15.877132402714707,0.328191965462117
mid,4.0,16.45448267190433,0.32739437890343054
mid,4.0,17.03183294109396,0.32632330502658635
mid,4.0,17.609183210283582,0.33444084312819783
mid,4.0,18.186533479473212,0.3335475223157937
mid,4.0,18.763883748662835,0.3311288628554221
mid,4.0,19.341234017852464,0.3292836920761768
mid,4.0,19.918584287042087,0.3289266016733675
mid,4.0,20.495934556231717,0.32762232651800305
mid,4.0,21.07328482542134,0.3260331207901141
mid,4.0,21.650635094610962,0.3346097427541288
mid,4.0,22.22798536380059,0.33665070525425567
mid,4.0,22.805335632990214,0.3391807571792182
mid,4.0,23.382685902179844,0.32650536830473165
mid,4.0,23.960036171369467,0.32963175790842175
mid,4.0,24.537386440559096,0.32504757280780505
mid,4.0,25.11473670974872,0.3145802779998186
mid,4.0,25.69208697893834,0.33930174938384466
mid,4.0,26.26943724812797,0.3678090180296769
mid,4.0,26.846787517317594,0.3424956100699577
mid,4.0,27.424137786507224,0.30928669577135476
late,8.0,0.28867513459481287,0.607675914724089
late,8.0,0.8660254037844386,0.48159906790542467
late,8.0,1.4433756729740643,0.49537727120128755
late,8.0,2.02072594216369,0.4900059014158441
late,8.0,2.598076211353316,0.5054437776832377
late,8.0,3.1754264805429413,0.43517642291308384
late,8.0,3.752776749732567,0.43678282662257667
late,8.0,4.330127018922193,0.4955785647683817
late,8.0,4.907477288111819,0.515462467424859
late,8.0,5.484827557301445,0.5227045602780781
late,8.0,6.0621778264910695,0.5240942866164404
late,8.0,6.639528095680696,0.5245921330116448
late,8.0,7.216878364870322,0.5413687071993109
late,8.0,7.794228634059947,0.5688524290045631
late,8.0,8.371578903249572,0.5511586628640375
late,8.0,8.948929172439199,0.5760502078047456
late,8.0,9.526279441628825,0.5786412582853966
late,8.0,10.103629710818451,0.5745118224410605
late,8.0,10.680979980008075,0.5718998732443887
late,8.0,11.258330249197702,0.5772370056733054
late,8.0,11.835680518387328,0.5613303370214902
late,8.0,12.413030787576954,0.5615245212246509
late,8.0,12.990381056766578,0.5585276096969632
late,8.0,13.567731325956204,0.5629047219089142
late,8.0,14.14508159514583,0.5639484439408932
late,8.0,14.722431864335457,0.5602012476373158
late,8.0,15.299782133525081,0.5450257897452835
late,8.0,15.877132402714707,0.5425896174744125
late,8.0,16.45448267190433,0.5441212524116664
late,8.0,17.03183294109396,0.5361687784761692
late,8.0,17.609183210283582,0.5343802311203891
late,8.0,18.186533479473212,0.5404761970202204
late,8.0,18.763883748662835,0.5487357364548304
late,8.0,19.341234017852464,0.5448389645253087
late,8.0,19.918584287042087,0.535695572651002
late,8.0,20.495934556231717,0.5549647540012971
late,8.0,21.07328482542134,0.548773344382676
late,8.0,21.650635094610962,0.5416177404676571
late,8.0,22.22798536380059,0.5435752837737933
late,8.0,22.805335632990214,0.5359463099924765
late,8.0,23.382685902179844,0.5537187423420099
late,8.0,23.960036171369467,0.5406017017576905
late,8.0,24.537386440559096,0.57227049137175
late,8.0,25.11473670974872,0.5863295110032145
late,8.0,25.69208697893834,0.5600563972257635
late,8.0,26.26943724812797,0.4935051009209624
late,8.0,26.846787517317594,0.4387543053250053
late,8.0,27.424137786507224,0.50378121227414
