t,norm,peak,PR,R_rms
0.0,1.0000000000000002,1.4366969769095943,1.968662709604115,0.6123724353664733
0.0025,1.0000000000000004,1.4380008210543938,1.9681810206402166,0.6123641679736287
0.005,1.0000000000000007,1.4419057433868128,1.966740046722714,0.6123396536154658
0.0075,1.000000000000001,1.4484035316172252,1.9643460537965143,0.6122994519203709
0.01,1.000000000000002,1.4574957656280458,1.9610015232289117,0.6122440906244567
0.0125,1.0000000000000029,1.469193341678045,1.9567052719743112,0.6121740656627852
0.015,1.0000000000000029,1.4835160174313777,1.9514525755967747,0.6120898410818898
0.0175,1.0000000000000038,1.500491989997857,1.945235294316809,0.6119918487779694
0.02,1.0000000000000033,1.5201575227265602,1.938042002056027,0.6118804880633881
0.0225,1.000000000000004,1.5425566392620882,1.9298581183456731,0.6117561250623912
0.025,1.000000000000005,1.5677409053194185,1.9206660429123654,0.6116190919352188
0.0275,1.0000000000000056,1.5957693197701532,1.9104452927215978,0.6114696859279827
0.03,1.0000000000000056,1.6267083370136193,1.8991726412120016,0.6113081682437961
0.0325,1.0000000000000062,1.6606320423255378,1.8868222593698003,0.6111347627286257
0.035,1.0000000000000064,1.6976225010652308,1.8733658581726989,0.6109496543632219
0.0375,1.000000000000007,1.7377703014389767,1.8587728318021992,0.6107529875502656
0.04,1.0000000000000078,1.7811753091415714,1.8430104009408068,0.6105448641835902
0.0425,1.0000000000000082,1.8279476508197763,1.8260437555242834,0.6103253414840776
0.045,1.0000000000000087,1.8782089421089447,1.8078361966241856,0.6100944295846376
0.0475,1.0000000000000087,1.9320937751648886,1.7883492778281476,0.6098520888447014
0.05,1.0000000000000093,1.9897514803019876,1.7675429477125038,0.6095982268729851
0.0525,1.0000000000000093,2.0513481766774,1.7453756969138585,0.609332695236109
0.055,1.00000000000001,2.1170691280088993,1.7218047160465997,0.6090552858301502
0.0575,1.00000000000001,2.187121421103935,1.6967860744091805,0.6087657268926716
0.06,1.0000000000000109,2.26173698746738,1.6702749341752077,0.6084636786345204
0.0625,1.0000000000000122,2.3411759913187753,1.6422258206416558,0.6081487284742876
0.065,1.0000000000000118,2.425730610756961,1.6125929761218147,0.6078203858644164
0.0675,1.000000000000012,2.5157292421966786,1.5813308331683953,0.6074780767075959
0.07,1.0000000000000127,2.61154116102646,1.548394651832204,0.6071211373766991
0.0725,1.0000000000000127,2.71358167291881,1.5137413752890634,0.6067488083731162
0.075,1.000000000000013,2.822317789251181,1.4773307678606291,0.6063602276897652
0.0775,1.0000000000000138,2.9382744551009297,1.4391269083483953,0.6059544239902457
0.08,1.0000000000000144,3.0620413470529626,1.399100118379097,0.6055303097799895
0.0825,1.0000000000000142,3.194280237511581,1.357229408213585,0.6050866748363689
0.085,1.000000000000014,3.3357328880149506,1.3135055185479496,0.6046221802927652
0.08750000000000001,1.0000000000000153,3.487229380199542,1.2679346227344244,0.6041353539504521
