shot,a,b,A,B
1400,0.0,0.0,-1,-1
1401,0.0,0.0,-1,-1
1402,0.0,0.0,-1,-1
1403,0.0,0.0,1,1
1404,0.0,0.0,-1,-1
1405,0.0,0.0,1,1
1406,0.0,0.0,1,1
1407,0.0,0.0,-1,-1
1408,0.0,0.0,1,1
1409,0.0,0.0,-1,-1
1410,0.0,0.0,1,1
1411,0.0,0.0,1,1
1412,0.0,0.0,1,1
1413,0.0,0.0,-1,-1
1414,0.0,0.0,1,1
1415,0.0,0.0,1,1
1416,0.0,0.0,1,1
1417,0.0,0.0,1,1
1418,0.0,0.0,-1,-1
1419,0.0,0.0,-1,-1
1420,0.0,0.0,1,1
1421,0.0,0.0,-1,-1
1422,0.0,0.0,1,1
1423,0.0,0.0,1,1
1424,0.0,0.0,1,1
1425,0.0,0.0,-1,-1
1426,0.0,0.0,1,1
1427,0.0,0.0,-1,-1
1428,0.0,0.0,-1,-1
1429,0.0,0.0,1,1
1430,0.0,0.0,-1,-1
1431,0.0,0.0,-1,-1
1432,0.0,0.0,-1,-1
1433,0.0,0.0,-1,-1
1434,0.0,0.0,-1,-1
1435,0.0,0.0,-1,-1
1436,0.0,0.0,1,1
1437,0.0,0.0,-1,-1
1438,0.0,0.0,1,1
1439,0.0,0.0,-1,-1
1440,0.0,0.0,-1,-1
1441,0.0,0.0,-1,-1
1442,0.0,0.0,1,1
1443,0.0,0.0,-1,-1
1444,0.0,0.0,-1,-1
1445,0.0,0.0,1,1
1446,0.0,0.0,1,1
1447,0.0,0.0,1,1
1448,0.0,0.0,-1,-1
1449,0.0,0.0,1,1
1450,0.0,0.0,-1,-1
1451,0.0,0.0,-1,-1
1452,0.0,0.0,-1,-1
1453,0.0,0.0,1,1
1454,0.0,0.0,1,1
1455,0.0,0.0,1,1
1456,0.0,0.0,1,1
1457,0.0,0.0,-1,-1
1458,0.0,0.0,-1,-1
1459,0.0,0.0,-1,-1
1460,0.0,0.0,-1,-1
