x,linear,memory_only,anti_collapse,cubic_only
-40.000000,2.97561569e-28,2.67603565e-18,1.54663558e-16,1.93006813e-16
-39.843750,2.92226743e-28,9.03691986e-19,1.99775021e-16,2.57775664e-16
-39.687500,3.14911116e-28,1.97383999e-18,5.90983687e-17,5.35905196e-17
-39.531250,4.04223806e-28,6.73702475e-18,1.43518830e-15,1.87684919e-15
-39.375000,5.72841380e-28,1.91762679e-18,6.17668078e-17,1.13122132e-16
-39.218750,9.90263627e-28,1.23279317e-17,2.43320878e-15,3.27138166e-15
-39.062500,1.14411452e-27,4.37561297e-18,3.78456603e-16,7.01466763e-16
-38.906250,9.29776192e-28,1.13780545e-17,1.95536021e-15,2.75026423e-15
-38.750000,6.06483814e-28,6.52230568e-18,5.34487282e-16,9.42638412e-16
-38.593750,1.87644895e-28,5.51442696e-18,5.51414006e-16,8.31832210e-16
-38.437500,5.02532900e-30,6.97855758e-18,2.17438444e-16,2.90641750e-16
-38.281250,2.72369828e-28,7.07987212e-18,5.44589147e-17,6.84256913e-17
-38.125000,8.50495478e-28,1.42248573e-17,1.31587272e-16,1.91986178e-16
-37.968750,1.50468592e-27,2.81651280e-17,1.31266351e-15,2.19078938e-15
-37.812500,2.26845625e-27,3.69270542e-17,9.29936521e-16,2.18351444e-15
-37.656250,1.87312914e-27,5.99523240e-17,2.87277965e-15,5.41197889e-15
-37.500000,1.60966997e-27,6.14110976e-17,1.78011378e-15,4.56438218e-15
-37.343750,1.11339051e-27,7.06241391e-17,2.69179277e-15,5.80446289e-15
-37.187500,7.06308145e-28,5.95386571e-17,1.41705792e-15,3.87323016e-15
-37.031250,5.02925453e-28,4.95443854e-17,9.89124636e-16,2.41497905e-15
-36.875000,4.89434458e-28,4.69137558e-17,3.83741967e-16,7.30871249e-16
-36.718750,4.36887963e-28,6.16301216e-17,1.00307480e-16,6.94168223e-18
-36.562500,3.55415927e-28,1.13615199e-16,4.15152449e-16,8.44368665e-16
-36.406250,1.87856940e-28,2.05209592e-16,1.07366329e-15,3.73729115e-15
-36.250000,1.26875305e-28,3.18298994e-16,1.49919400e-15,7.07358349e-15
-36.093750,7.16842019e-29,4.46252775e-16,2.09628126e-15,1.11036088e-14
-35.937500,7.47989301e-29,5.24090888e-16,1.76874376e-15,1.30593702e-14
-35.781250,2.39170166e-29,5.51559604e-16,1.49118608e-15,1.30810772e-14
-35.625000,5.12676081e-29,4.94601875e-16,7.66105308e-16,1.04127426e-14
-35.468750,8.44365792e-29,4.06735526e-16,3.64125451e-16,6.15566001e-15
-35.312500,2.06170801e-28,3.66092224e-16,2.69699260e-16,2.00552401e-15
-35.156250,3.01208703e-28,4.85572865e-16,5.69674838e-16,1.73295299e-17
-35.000000,6.27832795e-28,8.78927313e-16,1.59061757e-15,1.79483227e-15
-34.843750,1.02489363e-27,1.58463921e-15,2.61837637e-15,7.45873907e-15
-34.687500,1.26512134e-27,2.52297203e-15,5.01982134e-15,1.69873462e-14
-34.531250,1.09557322e-27,3.50393720e-15,6.85676021e-15,2.61763599e-14
-34.375000,1.07450146e-27,4.20988683e-15,9.89473003e-15,3.44551332e-14
-34.218750,9.17861438e-28,4.40657774e-15,1.07608766e-14,3.59193676e-14
-34.062500,9.99219448e-28,3.99579984e-15,1.01392026e-14,3.17546351e-14
-33.906250,8.52479186e-28,3.26293405e-15,6.23394982e-15,2.08329619e-14
-33.750000,9.26646748e-28,2.85951426e-15,1.65516495e-15,8.14010662e-15
-33.593750,1.07592481e-27,3.71359065e-15,1.67740643e-15,3.02742408e-16
-33.437500,6.91655092e-28,6.71274475e-15,1.52845616e-14,5.76212633e-15
-33.281250,3.09474842e-28,1.22331888e-14,5.05705796e-14,3.11588993e-14
-33.125000,7.31808360e-29,1.97303394e-14,1.12728384e-13,7.99825006e-14
-32.968750,3.49705183e-29,2.76017833e-14,1.91422689e-13,1.42847188e-13
-32.812500,1.15441132e-28,3.34733186e-14,2.67553231e-13,2.06423312e-13
-32.656250,6.14878039e-28,3.51840319e-14,3.05902794e-13,2.43058164e-13
-32.500000,1.26247115e-27,3.19874912e-14,2.80662523e-13,2.33917154e-13
-32.343750,9.70118743e-28,2.58713156e-14,1.86147259e-13,1.69984720e-13
-32.187500,1.01098503e-27,2.19765801e-14,6.32502741e-14,7.46329413e-14
-32.031250,1.74095545e-27,2.77507611e-14,1.46161223e-15,4.60652653e-15
-31.875000,1.44640787e-27,5.04516450e-14,1.21119303e-13,4.22175718e-14
-31.718750,1.18005437e-27,9.34953799e-14,5.24454568e-13,2.66002211e-13
-31.562500,7.01720292e-27,1.52992656e-13,1.23238048e-12,7.08704818e-13
-31.406250,1.91538919e-26,2.16333576e-13,2.12605250e-12,1.31251548e-12
-31.250000,3.07208132e-26,2.64590116e-13,2.94445377e-12,1.91807061e-12
-31.093750,3.92547560e-26,2.79625924e-13,3.34667445e-12,2.29137495e-12
-30.937500,3.44362425e-26,2.54398160e-13,3.06547085e-12,2.22062720e-12
-30.781250,1.42031703e-26,2.03136067e-13,2.08876407e-12,1.64067860e-12
-30.625000,1.81218856e-28,1.65735999e-13,8.06975369e-13,7.54280436e-13
-30.468750,5.30704687e-26,2.01458758e-13,1.50301250e-14,6.77349942e-14
-30.312500,3.20137310e-25,3.69573014e-13,7.05871119e-13,2.86649411e-13
-30.156250,1.08012322e-24,7.00380178e-13,3.66143428e-12,2.05335515e-12
-30.000000,2.60146479e-24,1.16677219e-12,8.96213729e-12,5.58797232e-12
-29.843750,4.83441610e-24,1.67133091e-12,1.56342424e-11,1.03801016e-11
-29.687500,7.41068293e-24,2.06365383e-12,2.16801752e-11,1.51123765e-11
-29.531250,9.31988714e-24,2.19458815e-12,2.46527719e-11,1.79787052e-11
-29.375000,8.66298466e-24,1.99808204e-12,2.27131561e-11,1.73988412e-11
-29.218750,4.19017121e-24,1.57291166e-12,1.58524801e-11,1.29648540e-11
-29.062500,1.53751618e-27,1.22195943e-12,6.71604288e-12,6.21319277e-12
-28.906250,1.13555072e-23,1.40780576e-12,4.53925628e-13,7.64403341e-13
-28.750000,7.05226958e-23,2.60533716e-12,3.25915077e-12,1.46272345e-12
-28.593750,2.28137762e-22,5.07574715e-12,1.97905562e-11,1.25215061e-11
-28.437500,5.37205084e-22,8.63913434e-12,5.03120242e-11,3.51828588e-11
-28.281250,1.00955207e-21,1.25624849e-11,8.88649173e-11,6.58773336e-11
-28.125000,1.54969903e-21,1.56791710e-11,1.23779936e-10,9.60100008e-11
-27.968750,1.90556133e-21,1.67952846e-11,1.41209295e-10,1.14197109e-10
-27.812500,1.72473385e-21,1.53181469e-11,1.31082007e-10,1.10814573e-10
-27.656250,8.52320001e-22,1.18964882e-11,9.35129180e-11,8.35879088e-11
