f_FDT,seed,vis_density_k4,vis_wf_sideband,norm
0.000000e+00,2,1.00000000,0.93356418,0.670320046036
0.000000e+00,3,1.00000000,0.93356418,0.670320046036
0.000000e+00,5,1.00000000,0.93356418,0.670320046036
0.000000e+00,0,1.00000000,0.93356418,0.670320046036
1.000000e-03,0,0.18095293,0.73442198,4.039907092017
0.000000e+00,4,1.00000000,0.93356418,0.670320046036
1.000000e-03,2,0.17995899,0.71407076,3.811017603969
1.000000e-03,3,0.09955593,0.55616238,3.924094321257
1.000000e-03,4,0.20826821,0.61853625,4.021840605568
1.000000e-03,5,0.16717763,0.57812891,3.923390926319
0.000000e+00,1,1.00000000,0.93356418,0.670320046036
1.000000e-03,1,0.17623206,0.66830533,3.973557059497
1.000000e-02,0,0.03072786,0.36984930,34.800977013484
1.000000e-02,2,0.06006729,0.30681520,32.725797961390
1.000000e-02,4,0.06541683,0.06839145,34.612190687869
1.000000e-02,1,0.05426536,0.26433227,33.561380441694
1.000000e-02,5,0.04066611,-0.00660072,33.518472188263
1.000000e-02,3,0.06606998,0.00005698,33.503426316580
3.000000e-02,0,0.01739448,0.29076793,103.317247659720
3.000000e-02,2,0.05113282,0.22124197,97.217032434565
3.000000e-02,1,0.05350438,0.16621192,99.260637883550
3.000000e-02,4,0.05297560,-0.06922640,102.746126297233
1.000000e-01,1,0.05446349,0.11653355,329.134063371970
3.000000e-02,3,0.07648003,-0.11551002,99.342838600440
3.000000e-02,5,0.03670007,-0.10337682,99.400923716081
1.000000e-01,2,0.04716937,0.19156728,323.275843649335
1.000000e-01,0,0.01284236,0.25594146,343.351805380565
1.000000e-01,3,0.07973986,-0.16144739,329.935404207126
1.000000e-01,4,0.04865171,-0.13122438,341.438259809309
1.000000e-01,5,0.03686686,-0.12666555,330.155685448845
