config,kind,rank,omega,frac,mag
Lambda_m2_T251,abs_c,0,1.0004192429,1.00056741,2.13746193e+03
Lambda_m2_T251,abs_c,1,1.3307497339,0.10542573,2.25215701e+02
Lambda_m2_T251,abs_c,2,2.0008264665,0.10354537,2.21198782e+02
Lambda_m2_T251,abs_c,3,1.0715110449,0.07770271,1.65992388e+02
Lambda_m2_T251,abs_c,4,1.4406868329,0.07013188,1.49819223e+02
Lambda_m2_T251,abs_c,5,3.4393894809,0.06030554,1.28827706e+02
Lambda_m2_T251,abs_c,6,2.3308645702,0.05599799,1.19625693e+02
Lambda_m2_T251,rho2,0,2.3300389144,1.00343186,4.32400871e+02
Lambda_m2_T251,rho2,1,4.5023944841,0.76033490,3.27645040e+02
Lambda_m2_T251,rho2,2,2.1704334853,0.24010765,1.03467669e+02
Lambda_m2_T251,rho2,3,6.8289070727,0.13726662,5.91512075e+01
Lambda_m2_T251,rho2,4,6.8857160554,0.10837576,4.67015019e+01
Lambda_m2_T251,rho2,5,8.9921369794,0.07792604,3.35800455e+01
Lambda_m2_T251,rho2,6,4.6604906714,0.05093086,2.19472295e+01
Lambda_m2_T251,rho2,7,2.0971391332,0.05060039,2.18048233e+01
