config,kind,rank,omega,frac,mag
Lambda_m2_mem,abs_c,0,0.9999010076,0.11000502,3.76512599e+01
Lambda_m2_mem,rho2,0,1.9897976975,1.08108398,1.03738424e+03
Lambda_m2_mem,rho2,1,3.9821719773,0.28634847,2.74773647e+02
Lambda_m2_mem,rho2,2,5.9618870984,0.16808569,1.61291310e+02
Lambda_m2_mem,rho2,3,7.9534020458,0.11881253,1.14009872e+02
Lambda_m2_mem,rho2,4,9.9373465025,0.07064222,6.77867099e+01
Lambda_m2_mem,rho2,5,11.9226958986,0.05315416,5.10055540e+01
Lambda_m2_mem,Vmem_x0,0,1.9817941016,0.97465800,5.88824889e+02
Lambda_m2_mem,Vmem_x0,1,3.9660629889,0.75100247,4.53706782e+02
Lambda_m2_mem,Vmem_x0,2,5.9485820448,0.62426531,3.77140447e+02
Lambda_m2_mem,Vmem_x0,3,7.9288380520,0.47895523,2.89353557e+02
Lambda_m2_mem,Vmem_x0,4,9.9090168134,0.35063080,2.11828294e+02
Lambda_m2_mem,Vmem_x0,5,11.8912576768,0.25456720,1.53792924e+02
Lambda_m2_mem,Vmem_x0,6,13.8768259260,0.19023366,1.14926789e+02
Lambda_m2_mem,Vmem_x0,7,15.8598794502,0.14522061,8.77328322e+01
