config,kind,rank,omega,frac,mag
Lambda_m2_mem_T80,abs_c,0,0.0513876432,1.04801228,4.03678745e+02
Lambda_m2_mem_T80,abs_c,1,0.9236931777,0.17689025,6.81354946e+01
Lambda_m2_mem_T80,abs_c,2,1.1164204609,0.13523977,5.20923470e+01
Lambda_m2_mem_T80,rho2,0,2.0175136031,1.02757398,1.45654715e+02
Lambda_m2_mem_T80,rho2,1,0.0829149519,0.37132465,5.26338607e+01
Lambda_m2_mem_T80,rho2,2,3.9824459542,0.23733326,3.36410892e+01
Lambda_m2_mem_T80,rho2,3,5.9541886801,0.08447017,1.19733259e+01
Lambda_m2_mem_T80,rho2,4,4.2259298761,0.07222778,1.02380139e+01
Lambda_m2_mem_T80,Vmem_x0,0,1.9875207770,1.03864407,6.20070812e+02
Lambda_m2_mem_T80,Vmem_x0,1,3.9715843260,0.71655357,4.27782689e+02
Lambda_m2_mem_T80,Vmem_x0,2,0.0804530730,0.65104164,3.88672048e+02
Lambda_m2_mem_T80,Vmem_x0,3,5.9544979725,0.52836622,3.15434787e+02
Lambda_m2_mem_T80,Vmem_x0,4,7.9277915943,0.36574882,2.18352151e+02
Lambda_m2_mem_T80,Vmem_x0,5,9.8940041274,0.22993305,1.37270096e+02
Lambda_m2_mem_T80,Vmem_x0,6,11.8565986806,0.13736125,8.20047048e+01
Lambda_m2_mem_T80,Vmem_x0,7,10.1061299819,0.09294125,5.54859509e+01
