t,norm,peak,PR,R_rms,peak_n_cells_half,peak_width_phys,artifact_1_2_cells,finite,ic,seed,N,dx,backend
0.0,0.9999999403953552,1.436251163482666,1.887306822655949,0.6117469882808411,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.005,17.387142181396484,1.4063067436218262,564.086120863838,15.527075700056956,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.01,33.690467834472656,1.3647541999816895,1943.9137929484195,15.75627189450936,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.015,49.969879150390625,1.3397412300109863,3815.2774426293054,15.837019481383217,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.02,66.26768493652344,1.4343371391296387,5426.04674776213,15.871199327412274,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.025,82.8884506225586,1.488418698310852,6970.394078801575,15.8963399925444,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.03,99.06782531738281,1.4684430360794067,8555.764957714777,15.911786871118323,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.035,115.43313598632812,1.5589338541030884,9542.086972030524,15.920449018161753,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.04,131.6925506591797,1.6575393676757812,10326.307789122719,15.930769613803204,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.045,147.84532165527344,1.6965733766555786,11082.024033552623,15.941521976163543,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.05,164.20306396484375,1.774440050125122,11680.19083252719,15.946332585822868,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.055,180.61317443847656,1.7731863260269165,12331.016636386334,15.947392805846576,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.06,196.86099243164062,1.8313668966293335,12759.989489049109,15.94941036135954,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
0.065,213.2936248779297,1.9473907947540283,13008.985242566794,15.958335573180182,1,0.31017524544970004,True,True,1atom,0,64,0.5,mlx
