t,norm,peak,PR,R_rms,peak_n_cells_half,peak_width_phys,artifact_1_2_cells,finite,n_det,pair_sep,ic,seed,N,dx,backend
0.0,0.9999999403953552,0.718125581741333,3.774613645311898,3.0617371322932088,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.005,17.415565490722656,0.7313933372497559,1035.4635279319255,15.53145062547855,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.01,33.71751022338867,0.7512985467910767,3246.5295602679353,15.758714507264918,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.015,49.97707748413086,0.7279296517372131,5929.251156140894,15.841656461594978,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.02,66.24690246582031,0.7300772666931152,8296.751550989027,15.87801846924386,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.025,82.85569763183594,0.7194105982780457,10240.617444461546,15.902919206675575,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.03,99.04354095458984,0.7171381115913391,11555.26276056981,15.916572383416536,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.035,115.40589141845703,0.7308300733566284,12406.731067040864,15.924785481237823,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.04,131.6809844970703,0.7095167636871338,13207.187951750826,15.933658586886473,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.045,147.84027099609375,0.706402063369751,13764.45583272984,15.94377461578684,3,0.44735011446982476,False,True,2,6.0,2atom,0,64,0.5,mlx
0.05,164.18148803710938,0.7297074198722839,14178.994021398283,15.949147202258597,3,0.44735011446982476,False,True,2,6.0,2atom,0,64,0.5,mlx
0.055,180.5951690673828,0.768530547618866,14532.55673721376,15.949781198300848,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.06,196.83218383789062,0.7719740867614746,14784.29214873583,15.952022408770176,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.065,213.25970458984375,0.8045231699943542,14956.15053012311,15.960935031572333,3,0.44735011446982476,False,True,2,6.0,2atom,0,64,0.5,mlx
0.07,229.44313049316406,0.8663308620452881,15144.506322738418,15.969131862544804,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.075,245.71563720703125,0.906960666179657,15255.040067796996,15.972911757790094,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.08,262.0213623046875,0.952086865901947,15379.244360151866,15.977265023764565,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.085,278.2648010253906,0.9827792048454285,15455.567674801963,15.977650109945552,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.09,294.5704650878906,0.9981542825698853,15525.358702813657,15.981824199240817,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.095,311.07958984375,1.0477337837219238,15575.371989714578,15.9823338419404,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.1,327.13665771484375,1.101976990699768,15615.60975857745,15.98422883153478,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.105,343.4661865234375,1.141955018043518,15657.608628010012,15.986886367641372,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.11,359.812255859375,1.1574119329452515,15726.76800257628,15.984339191398465,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.115,376.10528564453125,1.1982709169387817,15756.602727278394,15.984364596802909,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.12,392.4451599121094,1.247066617012024,15809.64707991096,15.98696322274041,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.125,408.7696228027344,1.288475513458252,15845.477788048747,15.987958368999895,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.13,425.0677490234375,1.2894560098648071,15896.438478297858,15.98740617655954,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.135,440.8924560546875,1.3511745929718018,15926.791739323331,15.990997654254091,2,0.390796320898386,True,True,2,6.0,2atom,0,64,0.5,mlx
0.14,456.97119140625,1.3919135332107544,15945.008508020439,15.996119503695049,1,0.31017524544970004,True,True,2,6.0,2atom,0,64,0.5,mlx
