snap,t,x,Re_psi
ic,0.0,-16.0,0.0025475851644643733
ic,0.0,-15.5,0.0028811594247124535
ic,0.0,-15.0,0.003245707701343521
ic,0.0,-14.5,0.0036421267796977767
ic,0.0,-14.0,0.004071029501175804
ic,0.0,-13.5,0.004532700012367258
ic,0.0,-13.0,0.005027050428350991
ic,0.0,-12.5,0.005553580146108954
ic,0.0,-12.0,0.006111339110310691
ic,0.0,-11.5,0.00669889636482041
ic,0.0,-11.0,0.007314315214103448
ic,0.0,-10.5,0.007955136265309398
ic,0.0,-10.0,0.008618369521631352
ic,0.0,-9.5,0.009300496549995945
ic,0.0,-9.0,0.009997483560937735
ic,0.0,-8.5,0.010704806197366792
ic,0.0,-8.0,0.011417489669089363
ic,0.0,-7.5,0.012130204409510539
ic,0.0,-7.0,0.012837777178150123
ic,0.0,-6.5,0.01353845746357482
ic,0.0,-6.0,0.014250467028067067
ic,0.0,-5.5,0.015071269693205389
ic,0.0,-5.0,0.01631148523920473
ic,0.0,-4.5,0.01861740215044703
ic,0.0,-4.0,0.022723681148822897
ic,0.0,-3.5,0.028523715438503905
ic,0.0,-3.0,0.03415846702875505
ic,0.0,-2.5,0.03675135585647643
ic,0.0,-2.0,0.03485667627238973
ic,0.0,-1.5,0.0299074157289043
ic,0.0,-1.0,0.02474791945497581
ic,0.0,-0.5,0.021125986105129325
ic,0.0,0.0,0.01882424969703072
ic,0.0,0.5,0.016449052825639226
ic,0.0,1.0,0.012607596992391853
ic,0.0,1.5,0.00708507621877685
ic,0.0,2.0,0.0016335005684971191
ic,0.0,2.5,-0.000897003234685319
ic,0.0,3.0,0.0009337930900457799
ic,0.0,3.5,0.00568874683721902
ic,0.0,4.0,0.010501002953394335
ic,0.0,4.5,0.013522231822380335
ic,0.0,5.0,0.014657325620329929
ic,0.0,5.5,0.01465303264376722
ic,0.0,6.0,0.014168111270029654
ic,0.0,6.5,0.013525827799031501
ic,0.0,7.0,0.0128362687798255
ic,0.0,7.5,0.012130064106610848
ic,0.0,8.0,0.011417479505581401
ic,0.0,8.5,0.01070480562398091
ic,0.0,9.0,0.009997483535744919
ic,0.0,9.5,0.009300496549133893
ic,0.0,10.0,0.008618369521608379
ic,0.0,10.5,0.00795513626530892
ic,0.0,11.0,0.00731431521410344
ic,0.0,11.5,0.00669889636482041
ic,0.0,12.0,0.006111339110310691
ic,0.0,12.5,0.005553580146108954
ic,0.0,13.0,0.005027050428350991
ic,0.0,13.5,0.004532700012367258
ic,0.0,14.0,0.004071029501175804
ic,0.0,14.5,0.0036421267796977767
ic,0.0,15.0,0.003245707701343521
ic,0.0,15.5,0.0028811594247124535
t001,0.01,-16.0,0.020819279529896956
t001,0.01,-15.5,-0.010040978980052325
t001,0.01,-15.0,-0.0015820382900218798
t001,0.01,-14.5,0.016272712198945147
t001,0.01,-14.0,0.02584828671766022
t001,0.01,-13.5,0.0025131197972762384
t001,0.01,-13.0,-0.019945187386663267
t001,0.01,-12.5,0.06613945009436897
t001,0.01,-12.0,0.022556297244418995
t001,0.01,-11.5,-0.030528060340404437
t001,0.01,-11.0,0.01045642008216213
t001,0.01,-10.5,0.008752895305245563
t001,0.01,-10.0,0.03509650306003621
t001,0.01,-9.5,0.006767335742012541
t001,0.01,-9.0,0.027832961875813522
t001,0.01,-8.5,0.04020773507136864
t001,0.01,-8.0,-0.025901975037456663
t001,0.01,-7.5,0.053720686751513716
t001,0.01,-7.0,0.030848973179118912
t001,0.01,-6.5,0.02813620283799057
t001,0.01,-6.0,0.012597729179558065
t001,0.01,-5.5,-0.026180253730043193
t001,0.01,-5.0,0.020545387156908384
t001,0.01,-4.5,0.035602940803616964
t001,0.01,-4.0,0.023325863600828944
t001,0.01,-3.5,0.03884710614919683
t001,0.01,-3.0,0.05144510197356507
t001,0.01,-2.5,0.05374181662360962
t001,0.01,-2.0,0.061262314177384224
t001,0.01,-1.5,0.04727898360842041
t001,0.01,-1.0,0.032762600231050966
t001,0.01,-0.5,0.04980131075966167
t001,0.01,0.0,-0.01654916971561298
t001,0.01,0.5,0.03597654345736095
t001,0.01,1.0,0.011754385949768333
t001,0.01,1.5,0.00489727623589995
t001,0.01,2.0,0.029033989122813658
t001,0.01,2.5,0.011031877675054542
t001,0.01,3.0,0.0035175471973065055
t001,0.01,3.5,0.014394460245615723
t001,0.01,4.0,-0.0029789744807311655
t001,0.01,4.5,0.04615946250295287
t001,0.01,5.0,-0.02740209739572514
t001,0.01,5.5,-0.005835797144759307
t001,0.01,6.0,0.022673810587931456
t001,0.01,6.5,-0.022113980651004683
t001,0.01,7.0,0.016541295988503332
t001,0.01,7.5,0.039024236035931845
t001,0.01,8.0,-0.005647781186886807
t001,0.01,8.5,0.014980263359182941
t001,0.01,9.0,0.008621997372495468
t001,0.01,9.5,0.011613031287756256
t001,0.01,10.0,-0.03347885125008039
t001,0.01,10.5,-0.005635573076366139
t001,0.01,11.0,-0.006749974564821644
t001,0.01,11.5,0.01194677128750933
t001,0.01,12.0,0.003951098623645337
t001,0.01,12.5,-0.005980404177666963
t001,0.01,13.0,-0.01437224378176541
t001,0.01,13.5,0.04056095585621769
t001,0.01,14.0,0.027447243354028712
t001,0.01,14.5,0.0015303381598910405
t001,0.01,15.0,0.005926694170572129
t001,0.01,15.5,0.01925711961986555
t002,0.02,-16.0,0.04180822499956299
t002,0.02,-15.5,-0.005335747279720927
t002,0.02,-15.0,0.012909715874995415
t002,0.02,-14.5,-0.020720056334825626
t002,0.02,-14.0,0.05238072821541953
t002,0.02,-13.5,-0.0022670808882093926
t002,0.02,-13.0,-0.022868540069827366
t002,0.02,-12.5,0.12212126693004902
t002,0.02,-12.0,0.03750630544818368
t002,0.02,-11.5,-0.05319402087875952
t002,0.02,-11.0,-0.010083844135519701
t002,0.02,-10.5,0.03547398010860954
t002,0.02,-10.0,0.022690159596049225
t002,0.02,-9.5,0.026381668313278116
t002,0.02,-9.0,0.01676860746958376
t002,0.02,-8.5,0.02208759723011439
