snap,t,r,rho_shell
ic,0.0,0.28867513459481287,0.00035473065072567434
ic,0.0,0.8660254037844386,0.0003566802138240391
ic,0.0,1.4433756729740643,0.0003615797354095381
ic,0.0,2.02072594216369,0.00035856568620914965
ic,0.0,2.598076211353316,0.000342754306132938
ic,0.0,3.1754264805429413,0.0003169033901246195
ic,0.0,3.752776749732567,0.0002887750217310407
ic,0.0,4.330127018922193,0.00026480789111084076
ic,0.0,4.907477288111819,0.0002430158037628405
ic,0.0,5.484827557301445,0.0002210814941824363
ic,0.0,6.0621778264910695,0.00019913802246840107
ic,0.0,6.639528095680696,0.00017796766039978294
ic,0.0,7.216878364870322,0.00015707905197522948
ic,0.0,7.794228634059947,0.00013682493317022186
ic,0.0,8.371578903249572,0.00011809998455468573
ic,0.0,8.948929172439199,0.0001009645492983336
ic,0.0,9.526279441628825,8.579851134915533e-05
ic,0.0,10.103629710818451,7.206674297429068e-05
ic,0.0,10.680979980008075,5.9782273160257954e-05
ic,0.0,11.258330249197702,4.897514652801573e-05
ic,0.0,11.835680518387328,3.9649992201412054e-05
ic,0.0,12.413030787576954,3.1885377632271445e-05
ic,0.0,12.990381056766578,2.5350549377720578e-05
ic,0.0,13.567731325956204,2.000569678442915e-05
ic,0.0,14.14508159514583,1.559921552182044e-05
ic,0.0,14.722431864335457,1.1989802996852652e-05
ic,0.0,15.299782133525081,9.148870045519489e-06
ic,0.0,15.877132402714707,6.923889413534841e-06
ic,0.0,16.45448267190433,5.179231975689297e-06
ic,0.0,17.03183294109396,3.837287242210495e-06
ic,0.0,17.609183210283582,2.812633391715918e-06
ic,0.0,18.186533479473212,2.028234461779384e-06
ic,0.0,18.763883748662835,1.455002386305953e-06
ic,0.0,19.341234017852464,1.0319903612060688e-06
ic,0.0,19.918584287042087,7.266072323453472e-07
ic,0.0,20.495934556231717,5.086328527334234e-07
ic,0.0,21.07328482542134,3.484206551955902e-07
ic,0.0,21.650635094610962,2.3735037123048726e-07
ic,0.0,22.22798536380059,1.605872518053682e-07
ic,0.0,22.805335632990214,1.0717655685317348e-07
ic,0.0,23.382685902179844,7.085446499686488e-08
ic,0.0,23.960036171369467,4.681726033938598e-08
ic,0.0,24.537386440559096,3.064183843771615e-08
ic,0.0,25.11473670974872,2.001845740844697e-08
ic,0.0,25.69208697893834,1.2945876695547662e-08
ic,0.0,26.26943724812797,8.30856317960795e-09
ic,0.0,26.846787517317594,5.280409264852692e-09
ic,0.0,27.424137786507224,3.3131803957623418e-09
t001,0.01,0.28867513459481287,0.001345782524041887
t001,0.01,0.8660254037844386,0.0012888464548007263
t001,0.01,1.4433756729740643,0.0014573169234089736
t001,0.01,2.02072594216369,0.001266603082705773
t001,0.01,2.598076211353316,0.0012221654334298633
t001,0.01,3.1754264805429413,0.0014047175584640578
t001,0.01,3.752776749732567,0.0013213961674056823
t001,0.01,4.330127018922193,0.001287854620860836
t001,0.01,4.907477288111819,0.001260505604072544
t001,0.01,5.484827557301445,0.0012322390201244485
t001,0.01,6.0621778264910695,0.0012195541960205788
t001,0.01,6.639528095680696,0.0011305488954411848
t001,0.01,7.216878364870322,0.00117497739837519
t001,0.01,7.794228634059947,0.001155342403849718
t001,0.01,8.371578903249572,0.0010951929812391807
t001,0.01,8.948929172439199,0.001096081812792235
t001,0.01,9.526279441628825,0.001063476326248317
t001,0.01,10.103629710818451,0.0011004515976924922
t001,0.01,10.680979980008075,0.001046209276099504
t001,0.01,11.258330249197702,0.0010475957992508742
t001,0.01,11.835680518387328,0.0010382578546950752
t001,0.01,12.413030787576954,0.0010363615654649303
t001,0.01,12.990381056766578,0.0010194889803385992
t001,0.01,13.567731325956204,0.0010258879178537232
t001,0.01,14.14508159514583,0.0010087779888201523
t001,0.01,14.722431864335457,0.0010180919389749829
t001,0.01,15.299782133525081,0.000997300708965649
t001,0.01,15.877132402714707,0.001000476647166511
t001,0.01,16.45448267190433,0.001002969942942628
t001,0.01,17.03183294109396,0.00100645684482459
t001,0.01,17.609183210283582,0.0009887995401302687
t001,0.01,18.186533479473212,0.0010041976304766337
t001,0.01,18.763883748662835,0.0009860862210240592
t001,0.01,19.341234017852464,0.0010085584034221719
t001,0.01,19.918584287042087,0.0009963725594033742
t001,0.01,20.495934556231717,0.0010026363200496095
t001,0.01,21.07328482542134,0.0009964216588451633
t001,0.01,21.650635094610962,0.0009953574959717995
t001,0.01,22.22798536380059,0.0010058206357550826
t001,0.01,22.805335632990214,0.0009399703243283101
t001,0.01,23.382685902179844,0.0009835742286108048
t001,0.01,23.960036171369467,0.001034201936795005
t001,0.01,24.537386440559096,0.0010342562839917781
t001,0.01,25.11473670974872,0.0009879924971328193
t001,0.01,25.69208697893834,0.0010230929955517914
t001,0.01,26.26943724812797,0.001093643363467726
t001,0.01,26.846787517317594,0.0009357433394650814
t001,0.01,27.424137786507224,0.0008126978440065508
t002,0.02,0.28867513459481287,0.0022508154583677268
t002,0.02,0.8660254037844386,0.0023768537232795673
