t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,seed,N,dx,backend
0.0,0.9999999403953552,1.436251163482666,1.887306822655949,0.6117469882808411,0.5,0.7071067811865476,0.8660254037844386,0.0,0.0,0.2945243112740431,9.42477796076938,0.9988205432891846,0.0,0.0,0.0,True,1,0.6203504908994001,0.31017524544970004,True,2,64,0.5,mlx
0.1,326.41021728515625,2.9770560264587402,13800.005918845363,15.969547157027073,15.724185193516387,19.209372712298546,20.868636754709208,3.969069480895996,0.011154522188007832,10.701049976290232,342.4335992412874,0.9999717473983765,0.1319044903869184,0.0006084859889800401,6.281785666904863e-06,True,1,0.6203504908994001,0.31017524544970004,True,2,64,0.5,mlx
0.2,645.7186889648438,4.816892147064209,14696.400686081892,15.995624935341812,15.732132722552274,19.222382786741086,20.89258241577618,9.945243835449219,0.03459848463535309,10.701049976290232,342.4335992412874,0.999973714351654,0.2814250549863082,0.0019887091739771096,2.1089275720346312e-05,True,1,0.6203504908994001,0.31017524544970004,True,2,64,0.5,mlx
0.3,964.271484375,2.7826359272003174,16103.295731519996,16.00262326032943,15.732132722552274,19.235384061671343,20.898564544006366,11.203547477722168,0.06264418363571167,10.701049976290232,342.4335992412874,0.9999745488166809,0.39401624239038474,0.0040897803232919595,4.462920710066185e-05,True,1,0.6203504908994001,0.31017524544970004,True,2,64,0.5,mlx
0.4,1281.2410888671875,0.8142551183700562,16347.954343071435,16.011867499949,15.748015748023622,19.241881404893856,20.904544960366874,7.540658950805664,0.092487633228302,10.701049976290232,342.4335992412874,0.9999814033508301,0.45266888808081335,0.0063708673673522325,7.150360375095563e-05,True,12,1.4202480846149885,0.7101240423074943,False,2,64,0.5,mlx
0.5,1592.7447509765625,0.7087658643722534,16380.0812575777,16.01639563362559,15.732132722552274,19.241881404893856,20.904544960366874,3.6634910106658936,0.12308411300182343,10.701049976290232,342.4335992412874,0.9999776482582092,0.501640283312796,0.009057625844464866,0.00010444477773654943,True,182,3.5155579368600023,1.7577789684300011,False,2,64,0.5,mlx
0.6,1902.1343994140625,0.810187816619873,16374.128649393084,16.014915008421486,15.732132722552274,19.241881404893856,20.898564544006366,1.6981326341629028,0.15395024418830872,10.701049976290232,342.4335992412874,0.9999856948852539,0.5392000351352437,0.012152042268844554,0.00014394539231800488,True,244,3.8764460045576628,1.9382230022788314,False,2,64,0.5,mlx
0.7000000000000001,2204.93896484375,0.9193211197853088,16379.535455205281,15.999022949742864,15.732132722552274,19.222382786741086,20.89258241577618,1.7191542387008667,0.18486158549785614,10.30835089459151,329.8672286269283,0.9999855160713196,0.5690235264434214,0.01566637198465335,0.0001906692967637183,True,268,3.9995892728885436,1.9997946364442718,False,2,64,0.5,mlx
0.8,2507.44482421875,0.9325658679008484,16398.47040419969,16.00378563387492,15.732132722552274,19.222382786741086,20.89258241577618,1.971084475517273,0.2157595306634903,9.719302272043423,311.01767270538954,0.9999820590019226,0.5906350024670746,0.01946902498140839,0.0002435046546282661,True,578,5.167491168146892,2.583745584073446,False,2,64,0.5,mlx
0.9,2805.6064453125,0.9542140960693359,16473.87732535673,15.999522736228126,15.732132722552274,19.235384061671343,20.89258241577618,2.1586623191833496,0.24677908420562744,9.719302272043423,311.01767270538954,0.9999784827232361,0.6099729666654446,0.02366253262285937,0.0003041445238336725,True,929,6.053070073533136,3.026535036766568,False,2,64,0.5,mlx
