t,norm,peak,PR,R_rms,finite,seed,member,backend
0.0,0.9999999403953552,1.436251163482666,1.8873066103485516,3.0617372438231247,True,0,B,mlx
0.02,66.2713394165039,1.4904770851135254,5296.382306589133,15.875226684737337,True,0,B,mlx
0.04,131.71224975585938,1.616085410118103,10453.738101574363,15.931849409108375,True,0,B,mlx
0.06,196.8624267578125,1.9399641752243042,12611.558995679276,15.95084532760983,True,0,B,mlx
0.08,262.10980224609375,2.60516095161438,13096.513749377256,15.974676764000012,True,0,B,mlx
0.1,327.22271728515625,3.274933099746704,13353.237165542072,15.982210409438586,True,0,B,mlx
0.12,392.5146484375,3.9160091876983643,13539.813261129599,15.98561137952065,True,0,B,mlx
0.14,457.03546142578125,4.667391777038574,13501.474617277423,15.9950456640282,True,0,B,mlx
0.16,522.2872314453125,5.2207841873168945,13635.062522500635,15.993730628851422,True,0,B,mlx
0.18,586.5372314453125,5.420621395111084,13996.471374319633,16.00072644314635,True,0,B,mlx
0.2,650.6409301757812,5.250405788421631,14518.512302443678,15.996453160034909,True,0,B,mlx
0.22,714.7453002929688,4.945108890533447,15007.904660369928,15.997335190642541,True,0,B,mlx
0.24,778.003662109375,4.452178001403809,15444.5022068865,15.994288083905658,True,0,B,mlx
0.26,842.216552734375,3.6540682315826416,15871.96842488406,15.99640431294474,True,0,B,mlx
0.28,905.5897216796875,2.8480513095855713,16132.15041365125,15.993119878998655,True,0,B,mlx
0.3,969.893798828125,2.3464763164520264,16254.53665139413,15.990348310720671,True,0,B,mlx
0.32,1034.388671875,1.628671646118164,16364.232940965476,15.993151181848745,True,0,B,mlx
0.34,1098.21826171875,0.9436419606208801,16399.179075031854,15.993705212194303,True,0,B,mlx
0.36,1161.685302734375,0.5140864253044128,16387.92987942228,15.996154694991608,True,0,B,mlx
0.38,1225.7509765625,0.4937531352043152,16371.827977524097,15.997293187908479,True,0,B,mlx
0.4,1287.977294921875,0.6546151638031006,16376.184124019468,16.00152621393381,True,0,B,mlx
0.42,1350.8270263671875,0.731678307056427,16382.576125361526,16.00320226212408,True,0,B,mlx
0.44,1413.7545166015625,0.6310195326805115,16388.59862008448,16.002590956650057,True,0,B,mlx
0.46,1476.9755859375,0.5645690560340881,16393.63521009755,16.002115307716757,True,0,B,mlx
0.48,1539.100830078125,0.5997337698936462,16400.960278945393,16.00718628064384,True,0,B,mlx
0.5,1601.483642578125,0.6005836725234985,16397.900301828653,16.00324612572865,True,0,B,mlx
0.52,1664.974609375,0.6189451813697815,16387.765388195432,16.002007139365464,True,0,B,mlx
0.54,1725.5181884765625,0.6497489809989929,16394.233377147073,16.002826738969112,True,0,B,mlx
0.56,1788.1884765625,0.6547134518623352,16386.27799398926,16.002434824917167,True,0,B,mlx
0.58,1850.867431640625,0.672671377658844,16390.486653160027,16.004636835846597,True,0,B,mlx
0.6,1912.938232421875,0.714886486530304,16385.622880237628,16.006670354512227,True,0,B,mlx
0.62,1973.8681640625,0.7938465476036072,16372.003150226352,16.003953469290416,True,0,B,mlx
0.64,2034.060791015625,0.7299866676330566,16365.751223132513,16.003247454303455,True,0,B,mlx
0.66,2097.41357421875,0.6946914196014404,16381.989841400844,16.00151391575576,True,0,B,mlx
0.68,2158.255859375,0.7518400549888611,16392.915512516283,16.000768199688327,True,0,B,mlx
0.7000000000000001,2219.994873046875,0.8180442452430725,16404.568170648694,16.00387382222703,True,0,B,mlx
0.72,2283.157470703125,0.8116385340690613,16415.027011049377,16.00555219440081,True,0,B,mlx
0.74,2344.20751953125,0.8563330769538879,16427.07836007282,16.007190687039184,True,0,B,mlx
0.76,2402.825439453125,0.9361922740936279,16426.597653672503,16.011138706696812,True,0,B,mlx
0.78,2464.335205078125,0.9785323143005371,16415.680136260555,16.010251690846975,True,0,B,mlx
0.8,2524.54052734375,1.0748823881149292,16415.88974477767,16.009796381137487,True,0,B,mlx
0.8200000000000001,2583.91455078125,0.9810613989830017,16405.412562220325,16.00980601151291,True,0,B,mlx
0.84,2644.253173828125,1.0663222074508667,16371.756078936265,16.01018134526004,True,0,B,mlx
0.86,2704.50341796875,0.982144296169281,16389.359206267687,16.0092149735736,True,0,B,mlx
0.88,2764.580078125,1.0695278644561768,16429.292387941652,16.00954639780814,True,0,B,mlx
0.9,2824.62890625,1.074765920639038,16441.51357979171,16.008138732046977,True,0,B,mlx
0.92,2885.78759765625,1.0787074565887451,16444.341140513243,16.00793240402747,True,0,B,mlx
0.9400000000000001,2945.778076171875,1.1921589374542236,16440.326429086424,16.008181682247457,True,0,B,mlx
