t,norm,peak,PR,R_rms,finite,seed,member,backend
0.0,0.9999999403953552,0.718125581741333,3.774613645311898,3.0617371322932088,True,0,S,mlx
0.02,66.24690246582031,0.7300772666931152,8296.751550989027,15.87801846924386,True,0,S,mlx
0.04,131.6809844970703,0.7095167636871338,13207.187951750826,15.933658586886473,True,0,S,mlx
0.06,196.83218383789062,0.7719740867614746,14784.29214873583,15.952022408770176,True,0,S,mlx
0.08,262.0213623046875,0.952086865901947,15379.244360151866,15.977265023764565,True,0,S,mlx
0.1,327.13665771484375,1.101976990699768,15615.60975857745,15.98422883153478,True,0,S,mlx
0.12,392.4451599121094,1.247066617012024,15809.64707991096,15.98696322274041,True,0,S,mlx
0.14,456.97119140625,1.3919135332107544,15945.008508020439,15.996119503695049,True,0,S,mlx
0.16,522.2037353515625,1.4320409297943115,16074.389165352763,15.994954578356978,True,0,S,mlx
0.18,586.4840087890625,1.5321193933486938,16131.334566638416,16.001417732906038,True,0,S,mlx
0.2,650.6280517578125,1.5736719369888306,16176.396581489676,15.996597000593264,True,0,S,mlx
0.22,714.76171875,1.5820056200027466,16241.029359007187,15.997152250736947,True,0,S,mlx
0.24,777.9992065429688,1.5703723430633545,16289.55503984273,15.994323455340028,True,0,S,mlx
0.26,842.2728271484375,1.7552368640899658,16310.395923433922,15.99588135425684,True,0,S,mlx
0.28,905.655029296875,1.9823169708251953,16290.69831797966,15.992554379352486,True,0,S,mlx
0.3,969.9179077148438,1.9906048774719238,16308.368776979583,15.990146255331377,True,0,S,mlx
0.32,1034.456787109375,2.232508897781372,16299.548791383337,15.99263066513895,True,0,S,mlx
0.34,1098.327392578125,2.566147804260254,16260.186583319217,15.99292393996352,True,0,S,mlx
0.36,1161.850830078125,2.759831666946411,16227.639032288063,15.995039169733912,True,0,S,mlx
0.38,1225.9190673828125,2.9452483654022217,16201.379352323152,15.996214816198892,True,0,S,mlx
0.4,1288.15869140625,3.0316061973571777,16213.858488458862,16.000415245875143,True,0,S,mlx
0.42,1351.0003662109375,2.958674907684326,16244.670546247564,16.00218739322745,True,0,S,mlx
