seed,corda,size,elong,atoms,rho_mean,rho_max,vort,b1,b2,b3,b4,b5,b6,b7,b8
1,1,29,4.0515,2,0.007322,0.009119,0.06897,0.02475,0.122459,0.182307,0.208126,0.190319,0.137595,0.087026,0.047418
1,2,17,1.4401,1,0.006383,0.007488,0.0,0.016974,0.106984,0.210173,0.251397,0.202215,0.117244,0.055388,0.039624
1,5,16,5.4426,0,0.00598,0.006495,0.1875,0.015252,0.080118,0.130466,0.163847,0.178041,0.166398,0.143509,0.122369
1,11,18,2.603,1,0.00644,0.00777,0.11111,0.017181,0.101525,0.181431,0.206358,0.185341,0.149188,0.102612,0.056364
1,12,44,1.8865,1,0.007917,0.011908,0.20455,0.038382,0.208415,0.306023,0.238255,0.11567,0.046267,0.023976,0.023011
1,16,16,2.9151,1,0.006194,0.007258,0.25,0.015505,0.093216,0.172227,0.203566,0.185592,0.147849,0.106995,0.07505
1,17,16,3.3852,1,0.007099,0.009314,0.0,0.015379,0.092626,0.170141,0.196368,0.174108,0.14142,0.113917,0.096041
1,18,23,2.2371,1,0.007452,0.010349,0.13043,0.021249,0.126041,0.222349,0.234393,0.174836,0.110386,0.067203,0.043543
1,22,8,2.8768,0,0.005786,0.006134,0.0,0.008729,0.056985,0.121066,0.167928,0.177078,0.165277,0.153647,0.149289
1,24,8,1.008,1,0.006563,0.007682,0.0,0.007621,0.052179,0.120842,0.186914,0.215601,0.198403,0.143581,0.074859
1,25,10,1.7697,1,0.006331,0.007212,0.0,0.009933,0.06573,0.14292,0.202711,0.211754,0.177337,0.121181,0.068434
1,27,28,1.3958,1,0.00685,0.009679,0.21429,0.026404,0.157114,0.274207,0.269398,0.159877,0.060297,0.024025,0.028679
1,28,65,1.3486,1,0.007727,0.012487,0.15385,0.055038,0.28043,0.352066,0.193658,0.047576,0.023087,0.027897,0.020248
1,30,16,1.755,1,0.006434,0.00803,0.0625,0.016033,0.101099,0.199331,0.241671,0.20193,0.127742,0.068317,0.043877
1,31,119,2.4558,2,0.007761,0.014699,0.15126,0.085807,0.296355,0.273085,0.19151,0.079311,0.031855,0.023972,0.018106
1,32,31,2.3253,1,0.006848,0.009116,0.32258,0.027945,0.158709,0.255534,0.232888,0.148183,0.089288,0.056165,0.031288
1,33,39,2.2496,1,0.007057,0.010049,0.23077,0.03539,0.191066,0.285549,0.243969,0.140837,0.058601,0.021558,0.02303
1,34,11,1.6541,1,0.006359,0.007881,0.09091,0.010765,0.071075,0.153369,0.213363,0.214438,0.168885,0.107633,0.060473
1,35,9,1.6454,1,0.006374,0.00761,0.11111,0.009069,0.060711,0.134712,0.195998,0.21019,0.18074,0.128565,0.080014
1,37,45,2.021,1,0.007918,0.012897,0.15556,0.038527,0.207479,0.301741,0.235293,0.116567,0.047513,0.026522,0.026358
1,39,27,1.5427,1,0.007419,0.01035,0.2963,0.025342,0.151731,0.268112,0.268891,0.165281,0.066516,0.026834,0.027294
1,41,24,2.6095,1,0.006206,0.007714,0.29167,0.02371,0.135009,0.225924,0.231565,0.171896,0.103613,0.060146,0.048137
1,42,58,1.9649,1,0.00758,0.011884,0.18966,0.049123,0.246468,0.312758,0.204825,0.093146,0.043357,0.027389,0.022934
1,43,102,2.8661,3,0.00684,0.010386,0.11765,0.073897,0.226473,0.246275,0.22602,0.119626,0.05288,0.02967,0.025159
1,44,75,4.055,2,0.006861,0.009616,0.02667,0.058017,0.214089,0.245677,0.20819,0.128737,0.075227,0.041217,0.028847
1,48,38,2.8489,1,0.006925,0.00939,0.13158,0.034032,0.177361,0.254335,0.220302,0.143847,0.080732,0.049435,0.039957
1,49,36,1.6445,1,0.007004,0.009692,0.30556,0.032945,0.186882,0.297292,0.255199,0.129663,0.045964,0.023514,0.02854
1,50,32,5.3529,1,0.006353,0.007817,0.28125,0.027757,0.125298,0.182644,0.208895,0.173285,0.12175,0.087213,0.073158
1,52,23,3.3304,0,0.006187,0.007083,0.34783,0.021344,0.115443,0.185732,0.202538,0.179671,0.139063,0.096437,0.059771
1,53,21,1.9832,1,0.006497,0.007926,0.0,0.020058,0.120731,0.218591,0.237901,0.182214,0.115456,0.066583,0.038465
