seed,finite,blew_up,blow_t,wall_s,n_records,box_filled,t_settle,t_fill,peak_max,peak_max_t,backend,norm_late_mean,norm_late_std,norm_late_n,peak_late_mean,peak_late_std,peak_late_n,PR_late_mean,PR_late_std,PR_late_n,R_rms_late_mean,R_rms_late_std,R_rms_late_n,k_star_late_mean,k_star_late_std,k_star_late_n,k_star_L_late_mean,k_star_L_late_std,k_star_L_late_n,Vmem_peak_late_mean,Vmem_peak_late_std,Vmem_peak_late_n,crystallinity_late_mean,crystallinity_late_std,crystallinity_late_n
0,True,False,,27.971819792001043,81,True,0.1,0.1,5.232077598571777,0.2,mlx,16740.7119140625,776.9576528724268,17,3.902237485436832,0.2759185792839902,17,19189.08613009834,194.04206807728164,17,15.983328897079847,0.02254013465793694,17,10.701049976290232,0.0,17,342.4335992412874,0.0,17,6.6162282295963335,0.3567928592229563,17,0.9999908945139717,2.7435303314451837e-06,17
1,True,False,,27.26210470800288,81,True,0.1,0.1,5.458909034729004,0.2,mlx,16812.60317095588,772.454654238055,17,3.8366245662464813,0.19595039219406468,17,19227.16187744685,198.91168436252593,17,15.98948246485936,0.0038019262761016396,17,10.701049976290232,0.0,17,342.4335992412874,0.0,17,6.665812672411694,0.31909838176955857,17,0.9999911679941065,2.0719629262976196e-06,17
2,True,False,,24.310087582998676,81,True,0.1,0.1,4.816892147064209,0.2,mlx,16714.6416015625,789.2232487397229,17,3.807848271201639,0.18638792749900926,17,19185.141145707512,183.7557615983026,17,16.011356488803166,0.008574574252679528,17,10.816549706201624,0.0966340070923422,17,346.12959059845195,3.0922882269549503,17,6.653116584393908,0.27503331888775684,17,0.999992335543913,1.6783025901397818e-06,17
3,True,False,,19.400996084004873,81,True,0.1,0.1,5.627021789550781,0.2,mlx,16780.48764935662,783.7449124694396,17,3.923205614089966,0.27100983705120585,17,19190.8881667404,166.99046904096795,17,15.966230252981813,0.03004307467157317,17,10.897399517139595,0.0,17,348.71678454846705,0.0,17,6.776481934899794,0.3368788973710631,17,0.9999919954468223,2.223704370989951e-06,17
4,True,False,,14.142672916990705,81,True,0.1,0.1,4.830960750579834,0.2,mlx,16732.571691176472,778.964316757071,17,3.939105650957893,0.2615349324045907,17,19229.844815011664,206.36677121842825,17,15.983874343710381,0.008048522475441062,17,10.689500003299095,0.1575206302484323,17,342.06400010557104,5.0406601679498335,17,6.721754285123419,0.32884625913945775,17,0.9999938431908103,2.2278356419239157e-06,17
5,True,False,,14.095416957992711,81,True,0.1,0.1,5.0886335372924805,0.2,mlx,16810.17204733456,784.4646177028445,17,3.9121013108421776,0.29677957071343297,17,19205.35414279412,202.1699201196469,17,16.039464409432536,0.01532830833112595,17,10.701049976290232,0.0,17,342.4335992412874,0.0,17,6.757160633846241,0.4090327572789298,17,0.9999904948122361,2.374006521901471e-06,17
6,True,False,,14.135447499997099,81,True,0.1,0.1,5.393418312072754,0.2,mlx,16732.063534007353,776.3474229787915,17,3.9288227558135986,0.23383098959670423,17,19215.615298034936,172.8918234028787,17,15.998496116341167,0.0053223885824921465,17,10.781899787228205,0.0966340070923422,17,345.0207931913026,3.0922882269549503,17,6.753532135881045,0.4262701466505577,17,0.9999918481882881,2.299455405736311e-06,17
7,True,False,,14.211120542007848,81,True,0.1,0.1,5.089402675628662,0.2,mlx,16754.345588235294,788.064404589315,17,3.878419469384586,0.19259599311971037,17,19184.702588840075,197.69099778349815,17,15.976156806175334,0.019776133929494694,17,10.85119962517504,0.08328803969955177,17,347.2383880056013,2.6652172703856567,17,6.72689355484703,0.2738824353216225,17,0.9999922338654014,2.3446561791000576e-06,17
8,True,False,,14.329935333997128,81,True,0.1,0.1,5.151070594787598,0.2,mlx,16772.475528492647,784.0382341249627,17,3.894124087165384,0.36043348623298876,17,19215.220210212236,203.7157023773351,17,15.984747172302066,0.006503511077715019,17,10.735699895263648,0.07485238002918616,17,343.54239664843675,2.3952761609339572,17,6.757780914972809,0.38631344613116547,17,0.9999915115973529,4.128369777436091e-06,17
9,True,False,,14.125861874999828,81,True,0.1,0.1,5.198897838592529,0.2,mlx,16748.57697610294,788.358452697842,17,3.7499515729791977,0.1745790929043367,17,19192.35209846168,182.3711167370352,17,15.995976792812609,0.011699869001553058,17,10.897399517139595,0.0,17,348.71678454846705,0.0,17,6.6049073054948275,0.489755898711063,17,0.9999887943267822,2.258508558789896e-06,17
10,True,False,,14.151676625013351,81,True,0.1,0.1,4.892519474029541,0.2,mlx,16788.541877297794,778.8291790039256,17,3.8203379406648525,0.22766236146890578,17,19239.37572275685,208.40659111103318,17,15.959317742382044,0.0222578025754376,17,10.897399517139595,0.0,17,348.71678454846705,0.0,17,6.696518078534043,0.357036268056969,17,0.999989762025721,3.857545596407333e-06,17
11,True,False,,14.144484167001792,81,True,0.1,0.1,5.150959491729736,0.2,mlx,16715.308708639706,756.4523282206959,17,3.897517568924848,0.260808401140148,17,19240.079865991676,214.30265747355958,17,16.015991493079255,0.02006358704217155,17,10.71259994928137,0.15752063024843235,17,342.80319837700387,5.040660167949835,17,6.7343921508420905,0.5555825232262029,17,0.9999924933209139,2.4350496579723214e-06,17
12,True,False,,14.350368999992497,81,True,0.1,0.1,4.780930519104004,0.2,mlx,16759.43910845588,797.1689522358131,17,3.821515504051657,0.24483863077371992,17,19197.295272684103,187.85324274173243,17,16.00821008336206,0.008568445992163873,17,10.862749598166179,0.10069033013799791,17,347.6079871413177,3.2220905644159332,17,6.786141916583566,0.4219332940845926,17,0.9999924477408914,2.269655588243599e-06,17
