t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,N,dx
0.0,1.0,1.4362512059597474,1.8873066938969778,0.6117469641319158,0.5,0.7071067811865476,0.8660254037844386,0.0,0.0,0.2945243112740431,9.42477796076938,0.9988206227177869,0.0,0.0,0.0,True,1,0.6203504908994001,0.31017524544970004,True,64,0.5
0.1,327.1564522189369,2.8925987585852453,13867.073417895714,15.983025715501501,15.732132722552274,19.222382786741086,20.89258241577618,3.9101636808418094,0.011160845881395917,10.897399517139595,348.71678454846705,0.9999664565206703,0.13195930522226124,0.0006088127970082031,6.285252296268334e-06,True,1,0.6203504908994001,0.31017524544970004,True,64,0.5
0.2,650.6119843968092,5.23215681959934,14532.491205788494,15.996699388655713,15.732132722552274,19.235384061671343,20.89258241577618,10.63416690827934,0.0348065396308334,0.6872233929727672,21.991148575128552,0.9999766124844534,0.28320394213222844,0.001987739241671762,2.1070912320653505e-05,True,1,0.6203504908994001,0.31017524544970004,True,64,0.5
0.3,969.88574802073,2.9207331631059357,16165.616164132834,15.990636002006617,15.724185193516387,19.222382786741086,20.89258241577618,12.128145784944252,0.06299629036802872,0.6872233929727672,21.991148575128552,0.9999778597972867,0.3973786651760945,0.004144293639093005,4.523037274303416e-05,True,1,0.6203504908994001,0.31017524544970004,True,64,0.5
0.4,1288.0760035816033,0.571368910323928,16379.463358166196,16.00140401615684,15.732132722552274,19.241881404893856,20.898564544006366,7.588595446977427,0.09307174754821435,0.6872233929727672,21.991148575128552,0.9999736163286362,0.4537578108917319,0.006405872023537748,7.191636692436919e-05,True,183,3.5219849309417994,1.7609924654708997,False,64,0.5
0.5,1601.5327530346792,0.6006452606445815,16399.613876108288,16.00369730778796,15.748015748023622,19.241881404893856,20.89258241577618,3.363647105301067,0.1237833363628976,10.112001353742146,323.5840433197487,0.9999700339435439,0.5017846030825789,0.009074078829835934,0.00010465669927024622,True,553,5.091887979159829,2.5459439895799143,False,64,0.5
0.6,1913.1445681346847,0.7149722165961163,16386.620669584405,16.00672050413685,15.75595125658873,19.241881404893856,20.904544960366874,1.6796948911171667,0.15481692615560516,10.701049976290232,342.4335992412874,0.9999774726008039,0.5386214909503382,0.01215411622475006,0.00014399478139544503,True,597,5.2235037073023385,2.6117518536511692,False,64,0.5
0.7000000000000001,2220.3077972312276,0.8182028665825899,16407.03686246515,16.00385766918224,15.75595125658873,19.241881404893856,20.904544960366874,1.5907644968976271,0.18596932496341936,10.50470043544087,336.15041393410786,0.999977330781197,0.5686703253606011,0.015654292297513292,0.00019053765884209124,True,622,5.295422200026766,2.647711100013383,False,64,0.5
0.8,2524.9288083685915,0.9762931060834099,16417.145501604013,16.009873569367098,15.763882770434446,19.241881404893856,20.904544960366874,1.770688461628756,0.21729715564202834,10.50470043544087,336.15041393410786,0.9999770701015833,0.590819594453686,0.01946275282738713,0.00024342067058863746,True,458,4.781809710001343,2.3909048550006715,False,64,0.5
0.9,2825.1789316871127,1.07491207358283,16440.65248323822,16.008092010953636,15.763882770434446,19.241881404893856,20.89258241577618,2.2917512875822643,0.24851914093261468,10.30835089459151,329.8672286269283,0.999980689437189,0.609873543351856,0.023597393086141647,0.000303264944838169,True,488,4.884015919923077,2.4420079599615385,False,64,0.5
1.0,3122.863679442028,1.2365894433858722,16441.474434721393,16.005794601726986,15.75595125658873,19.235384061671343,20.89258241577618,2.368873459246184,0.2798602571107772,10.30835089459151,329.8672286269283,0.9999849788010217,0.6242308989438432,0.027950516270969616,0.00036910161056795767,True,380,4.493295655350236,2.246647827675118,False,64,0.5
1.1,3414.9242150082473,2.1674201959047084,16421.577330905187,16.003445764684688,15.748015748023622,19.235384061671343,20.89258241577618,4.265228213754227,0.3110325803239713,10.30835089459151,329.8672286269283,0.9999881566875264,0.6347210251386047,0.032514227539481085,0.0004411937280900173,True,10,1.3365046175719757,0.6682523087859878,False,64,0.5
1.2,3701.701234667545,1.5541376924551231,16490.39038161697,16.003661138971026,15.748015748023622,19.235384061671343,20.904544960366874,4.349719508421932,0.3419278888078744,10.30835089459151,329.8672286269283,0.9999841423409541,0.6470949665494506,0.037486441488309395,0.0005226545060874438,True,240,3.855146420814098,1.927573210407049,False,64,0.5
1.3,3992.8583003403473,1.3592917058756446,16470.04263945744,15.999580076556875,15.748015748023622,19.222382786741086,20.89258241577618,3.199593044349988,0.37299262061097127,10.30835089459151,329.8672286269283,0.9999857925317431,0.6531349039541049,0.042289614908432784,0.0006057440520836899,True,938,6.072554339042775,3.0362771695213877,False,64,0.5
1.4000000000000001,4282.344245178015,1.6288422918942607,16515.885442348143,15.999394333343872,15.732132722552274,19.235384061671343,20.89258241577618,3.219518058588151,0.4043338592731192,10.30835089459151,329.8672286269283,0.999984811768139,0.6613033211691934,0.04739498105873874,0.0006972714088856901,True,467,4.812928653266251,2.4064643266331256,False,64,0.5
1.5,4572.481333994576,1.6421858146450703,16503.09308539267,15.994564607133663,15.732132722552274,19.222382786741086,20.89258241577618,4.143147767742492,0.43569487493131853,10.112001353742146,323.5840433197487,0.999988661303692,0.6648240933326746,0.05238704792675681,0.0007914447108611643,True,704,5.518588563740668,2.759294281870334,False,64,0.5
1.6,4857.869344544403,1.8679913221285096,16538.01382738597,15.987979037838887,15.732132722552274,19.215878850575635,20.886598574205422,3.42720870444536,0.4673917187602541,10.112001353742146,323.5840433197487,0.9999893286430315,0.6715667043850604,0.05772296006776708,0.0008952349191683585,True,423,4.656760680970258,2.328380340485129,False,64,0.5
1.7,5132.192957668401,1.949179021154911,16603.389219167035,15.982444754382051,15.732132722552274,19.215878850575635,20.8806130178211,3.7251046260175578,0.4985191605186371,10.701049976290232,342.4335992412874,0.9999910391289681,0.6785352979818737,0.06346782434013257,0.00101042318140872,True,415,4.62721659826314,2.31360829913157,False,64,0.5
1.8,5413.455046956454,1.879488713427064,16632.19859252196,15.984434254937613,15.732132722552274,19.215878850575635,20.886598574205422,3.7168974361631157,0.5297258895300309,10.701049976290232,342.4335992412874,0.9999896949421797,0.6811807296003849,0.06892859004171546,0.0011263278848247429,True,750,5.636258258934133,2.8181291294670663,False,64,0.5
1.9000000000000001,5680.526446720508,1.7472071443895183,16609.11329843745,15.987980070251256,15.732132722552274,19.222382786741086,20.8806130178211,4.744198704020707,0.560601517543489,10.701049976290232,342.4335992412874,0.9999903367560212,0.6847034430476497,0.07452772963972909,0.0012497721411637477,True,1464,7.043969861883599,3.5219849309417994,False,64,0.5
2.0,5948.171040510688,2.330069335580986,16668.624777852907,15.987975525765696,15.732132722552274,19.222382786741086,20.886598574205422,6.300655944813617,0.591113559660899,10.701049976290232,342.4335992412874,0.9999893533494377,0.6901206106145544,0.08046314101026018,0.001384480798884509,True,339,4.325507104155695,2.1627535520778474,False,64,0.5
2.1,6216.5195276580125,1.981521017649914,16742.91152397901,15.99307528363527,15.732132722552274,19.222382786741086,20.89258241577618,4.471117558299391,0.6217178687300932,10.701049976290232,342.4335992412874,0.9999890911504731,0.6930608424552953,0.0864430713930032,0.001525916960880281,True,1178,6.5516732080574895,3.2758366040287448,False,64,0.5
2.2,6474.822846831918,2.2939177360751497,16786.636531485776,15.995302092700696,15.724185193516387,19.222382786741086,20.89258241577618,4.460599793023839,0.6521593966721504,10.701049976290232,342.4335992412874,0.999988379366361,0.6964234383669325,0.09252049014104573,0.0016753443825622473,True,575,5.158535359611894,2.579267679805947,False,64,0.5
2.3000000000000003,6744.101513533286,2.333470212145736,16832.619226216488,15.992614670011621,15.724185193516387,19.222382786741086,20.89258241577618,4.9035709259593085,0.682581117050848,10.701049976290232,342.4335992412874,0.9999846959513895,0.6971227914152676,0.09827093413496434,0.0018250470316680516,True,680,5.455150891048748,2.727575445524374,False,64,0.5
2.4,7006.851412320092,2.2963592297565105,16890.516401019864,15.992507032991812,15.724185193516387,19.222382786741086,20.89258241577618,5.009641685228531,0.7133288966052679,10.701049976290232,342.4335992412874,0.999984874316658,0.7009203569875174,0.10427347313118178,0.0019855409879546296,True,892,5.971618869662644,2.985809434831322,False,64,0.5
2.5,7263.650534854459,2.684994882775411,16920.66739172864,15.99519938482859,15.724185193516387,19.235384061671343,20.89258241577618,5.132191087469997,0.7436738779570531,10.701049976290232,342.4335992412874,0.9999840603265078,0.7015946593944745,0.11022282876493926,0.0021516042485349874,True,397,4.559325856583907,2.2796629282919536,False,64,0.5
2.6,7515.694517863145,2.293163970199201,16998.870033699637,15.998937802666353,15.732132722552274,19.241881404893856,20.898564544006366,4.932326833914861,0.7736106209866469,10.701049976290232,342.4335992412874,0.9999834693262429,0.704969545488566,0.1165761844057648,0.0023324627175492865,True,1288,6.749564489897218,3.374782244948609,False,64,0.5
2.7,7768.399073915918,2.249411000546402,17076.95833464949,15.998805261682609,15.732132722552274,19.241881404893856,20.89258241577618,5.122885709705846,0.8033951303639052,10.701049976290232,342.4335992412874,0.9999835120578331,0.7078799822895105,0.12285502448738278,0.0025191371029196223,True,1688,7.3863170325454695,3.6931585162727347,False,64,0.5
2.8000000000000003,8025.105922036153,2.5806398165489823,17075.41618258557,16.002882020913706,15.732132722552274,19.241881404893856,20.89258241577618,5.234168496927092,0.8333734584451513,10.701049976290232,342.4335992412874,0.9999824737377622,0.7067131950227213,0.1283670414161197,0.0026969515671480373,True,831,5.832267991291182,2.916133995645591,False,64,0.5
