t,norm,peak,PR,R_rms,finite,mass_w,mass_out,peak_w,n_cells_w,com_x,com_y,com_z,d_com,median_out,contrast,y_corr_w,y_corr_out,planted,alive,backend
0.0,0.9999999403953552,1.436251163482666,1.8873066103485516,0.6117469882808411,True,2.87934441054257e-29,0.9999999403953552,2.3034752876928128e-28,1,4.0000001673421055,0.0,0.0,3.9999998326578945,0.0,2.303475287692813e-16,nan,nan,False,,numpy
0.005,17.38715934753418,1.4063067436218262,564.0865446037998,15.527075179217364,True,0.13396798074245453,17.253192901611328,0.0039823842234909534,41,8.005239888811147,0.058306850088866595,0.06122506591863124,0.08470923148500101,0.0003462235035840422,11.502350886829007,0.48220658720066756,0.993261906180908,False,,numpy
0.01,33.690528869628906,1.3647541999816895,1943.916073852144,15.756272167982099,True,0.2628331780433655,33.427696228027344,0.006960323546081781,64,8.022022667165837,0.07996621053298239,0.01698291677149552,0.08466411375647916,0.0006921938038431108,10.055454855905317,0.6710870167032652,0.9795791258805786,False,,numpy
0.015,49.97001647949219,1.3397414684295654,3815.2845144602134,15.837019652903487,True,0.3850947618484497,49.584922790527344,0.010867620818316936,49,8.011952714884899,0.054835562379389885,0.008219077324394709,0.05672177295049953,0.001038854126818478,10.461161521877331,0.7266848285890993,0.9607590607744387,False,,numpy
0.02,66.26792907714844,1.4343373775482178,5426.058755436391,15.871199391736475,True,0.5187156200408936,65.74921417236328,0.015856768935918808,37,8.069639475749025,0.038854379938521685,-0.018209275439438864,0.08179790422153453,0.0013847387162968516,11.451090916504375,0.749584563013865,0.9443821865629872,False,,numpy
0.025,82.88883972167969,1.4884189367294312,6970.4131543986605,15.896339196883503,True,0.6578606367111206,82.23097229003906,0.020724210888147354,35,8.039596514067433,0.048646472171871166,-0.008980555250596368,0.06336413460049863,0.0017373892478644848,11.928363729440916,0.7831431410707433,0.9266339189428398,False,,numpy
0.03,99.06836700439453,1.468442678451538,8555.785612700056,15.91178720286927,True,0.7893821001052856,98.27899932861328,0.022677861154079437,56,8.022601483824278,0.04668162238253253,-0.015600448412977364,0.05416064004432041,0.0020819283090531826,10.892719530958708,0.7943692171318374,0.905672477640937,False,,numpy
0.035,115.43386840820312,1.5589338541030884,9542.110310957505,15.9204495004627,True,0.9288133978843689,114.50506591796875,0.027901984751224518,54,8.012375020987907,0.05161771833329837,-0.0432373068195993,0.0684616293364322,0.002425743732601404,11.502445363963492,0.8063816392076125,0.8937198027757159,False,,numpy
0.04,131.6935272216797,1.6575387716293335,10326.343665252723,15.930768661939,True,1.0612592697143555,130.63226318359375,0.031433649361133575,52,7.995477147808825,0.036318985902507574,-0.03256898324206652,0.04899248512120784,0.0027778814546763897,11.315691426722688,0.8162834707213135,0.8850885381095106,False,,numpy
0.045,147.84654235839844,1.6965736150741577,11082.057003016822,15.941521427015713,True,1.207818865776062,146.63873291015625,0.03096443973481655,77,8.005476495916087,0.000686359300562678,-0.01648334838550785,0.017382861404452582,0.0031064096838235855,9.96791887949028,0.8197098649447383,0.874485544985877,False,,numpy
0.05,164.2045440673828,1.7744402885437012,11680.22165222552,15.946332968283679,True,1.3445649147033691,162.8599853515625,0.0401105172932148,47,7.99489821956717,-0.0020224495591162767,-0.03715450149061286,0.037557628343918785,0.0034402941819280386,11.659037039307995,0.8059664617845163,0.8653447487960547,False,,numpy
0.055,180.61495971679688,1.7731863260269165,12331.048147864907,15.947393135098705,True,1.490522027015686,179.12445068359375,0.05292227491736412,30,7.992154700529053,-0.015099441660293107,-0.0517900950350491,0.0545138129833243,0.0037936591543257236,13.95019235110235,0.8137756742020819,0.8542402260402423,False,,numpy
0.06,196.8631134033203,1.8313676118850708,12760.025043672262,15.949410564724998,True,1.6346487998962402,195.2284698486328,0.05906549096107483,24,8.005443606510298,-0.009368550733746662,-0.07529348196933892,0.07606912002749149,0.004146831575781107,14.24352300827388,0.8204352588669126,0.848005570401979,False,,numpy
0.065,213.29612731933594,1.947391152381897,13009.027088974659,15.958335042843816,True,1.7335432767868042,211.56260681152344,0.06249026954174042,21,7.999074665561976,0.0020536554359135784,-0.07355301487035022,0.07358749717845832,0.004498371854424477,13.89175274166734,0.8069005018687834,0.8469416159547399,False,,numpy
0.07,229.46554565429688,2.0506346225738525,13286.58670967008,15.967206149109863,True,1.861732006072998,227.60379028320312,0.06664658337831497,15,7.982860545522781,0.007847938622172238,-0.06523837847401183,0.06790726814054919,0.004841987509280443,13.764303036836864,0.7948639779692643,0.8432836599921024,False,,numpy
0.075,245.741943359375,2.1653292179107666,13443.113704152336,15.970999133020834,True,2.037353277206421,243.70457458496094,0.07087995857000351,20,7.991325679130574,0.011545295052262958,-0.04387442111558464,0.04618985287503339,0.005179581232368946,13.68449598339163,0.7962584055137405,0.8410457140533708,False,,numpy
0.08,262.0440368652344,2.281956911087036,13649.065523898926,15.97560904799901,True,2.1717655658721924,259.8722839355469,0.06048549339175224,56,7.977614207980112,0.01632341392878696,-0.03604859100687789,0.04546513433642691,0.00553195271641016,10.933841356294705,0.7910994099782008,0.8376772367179448,False,,numpy
0.085,278.2984924316406,2.4328601360321045,13697.443293093866,15.975769448441072,True,2.305826425552368,275.99267578125,0.0698135644197464,35,7.957336492681394,0.022163647145779248,-0.02471510239363689,0.054057732082055616,0.005875775590538979,11.881591348069588,0.7874574351147736,0.8396968954661015,False,,numpy
