t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,n_det,n_raw,pair_sep,pair_sep_com,n_blobs_ok,ax,ay,az,bx,by,bz,mass_a,mass_b,peak_a,peak_b,two_blobs,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,N,dx
0.0,1.0000000000000002,0.08978248375896042,31.506820272756144,3.2401989829046185,3.1622776601683795,3.6742346141747673,4.06201920231798,0.0,0.0,0.2945243112740431,9.42477796076938,0.9832016188644457,0.0,0.0,0.0,True,2,2,6.0,5.999860801091378,2,-3.0,0.0,0.0,3.0,0.0,0.0,0.49683498667791837,0.49683498667791837,0.08978248375896042,0.08978248375896042,True,38,2.0856030939994468,1.0428015469997234,False,64,0.5
0.01,33.721970855556805,0.10076686356266526,11004.413332452463,15.758814555405321,15.580436450882884,19.144189719076646,20.820662813657012,0.02688474556210594,0.0001216540130455152,0.2945243112740431,9.42477796076938,0.9994926087205485,0.0038134555454821507,1.0144645918771806e-05,1.017455208365019e-07,True,2,2,6.020797289396148,6.003965332156583,2,-3.0,0.0,0.0,3.0,0.0,0.5,0.5700535193356718,0.5912710481222812,0.10076686356266526,0.09274152250700139,True,35,2.0292075912899805,1.0146037956449903,False,64,0.5
0.02,66.25644096652897,0.0905535373577639,14616.525489838103,15.87749075906865,15.644487847162015,19.196353820452465,20.868636754709208,0.05205301643147216,0.0005245735631206957,0.2945243112740431,9.42477796076938,0.9997334352374821,0.009106370332628079,2.5725470455791073e-05,2.5876713613381873e-07,True,29,30,nan,5.9866456477817,2,-2.5,0.0,0.0,3.0,0.0,0.0,0.6200105363220704,0.6444245400497604,0.08380070671233031,0.0905535373577639,False,50,2.285390748670416,1.142695374335208,False,64,0.5
0.03,99.07484100722277,0.10094631197837635,15619.135324339577,15.914547402421132,15.684387141358123,19.196353820452465,20.868636754709208,0.07021427232040929,0.0011830613322709178,0.2945243112740431,9.42477796076938,0.9998119213463703,0.016675629372956247,4.964139921811172e-05,5.006279260853488e-07,True,0,293,nan,5.807434609786418,2,-2.813679368031295,-0.05013442034295679,0.01253591298889134,2.9936722038386208,-0.0195625293499031,0.01799733462200237,0.6804331658980731,0.7272489537727791,0.10094631197837635,0.09775640242791778,False,38,2.0856030939994468,1.0428015469997234,False,64,0.5
0.04,131.71962511641257,0.10103392025631272,15927.427412824825,15.931752506408007,15.692354826475215,19.20286436967152,20.89258241577618,0.09120479976447658,0.002072322069643062,0.2945243112740431,9.42477796076938,0.9998424528543343,0.02645621668012082,8.299445704318971e-05,8.391914670503873e-07,True,0,1514,nan,5.9198769650869,2,-2.91509961619726,-0.05162500499836753,0.03633776081175455,3.004671780036393,-0.02443227218052968,0.01374454540878034,0.7667259042036643,0.8148753159956271,0.08886764751315859,0.10103392025631272,False,48,2.254503303573653,1.1272516517868265,False,64,0.5
0.05,164.2133490295871,0.15042753994595684,16091.331145870568,15.947957478528682,15.700318468107582,19.20286436967152,20.886598574205422,0.1111812812273141,0.0031697192496584372,0.2945243112740431,9.42477796076938,0.999875192283327,0.038231136878123705,0.00012645334883423643,1.2820702540774e-06,True,0,570,nan,5.932939867818216,2,-2.913474411219511,-0.052409247174152185,0.04223770694390083,3.0192996739128652,-0.019125306926007113,0.012923729900869318,0.7874209258017559,0.8824618788226382,0.09363692258060102,0.15042753994595684,False,17,1.5950957970054265,0.7975478985027132,False,64,0.5
0.06,196.86718108322071,0.1572356769732425,16191.285500784896,15.950931456563069,15.700318468107582,19.20286436967152,20.868636754709208,0.14644743639478808,0.00445648686386981,0.2945243112740431,9.42477796076938,0.9998965071609932,0.051371822300400556,0.00017915861388579407,1.8214131723324653e-06,True,0,1210,nan,5.911742915107791,2,-2.893391380064937,-0.04939309411360604,0.04785344737116759,3.018202001006241,-0.02715382748957218,0.012168629554270893,0.8571721604671605,0.9382838234953677,0.10619602893700796,0.1572356769732425,False,19,1.655344272701427,0.8276721363507135,False,64,0.5
0.07,229.46974998550309,0.16455522444318413,16269.752853911512,15.968507360667147,15.724185193516387,19.215878850575635,20.89258241577618,0.1816912597806477,0.0059148813659541865,0.2945243112740431,9.42477796076938,0.9999092199678563,0.06569014337414116,0.00024143563070388815,2.4613377876173816e-06,True,0,2059,nan,5.880481693298172,2,-2.8703003998661902,-0.04554774783953697,0.02063104500752644,3.010130997873304,-0.022941132711881806,0.029601142384432677,0.916770813353347,1.0023096247103527,0.11382343874593509,0.16455522444318413,False,17,1.5950957970054265,0.7975478985027132,False,64,0.5
0.08,262.0457111116962,0.19714408668881472,16300.710123707131,15.97682643530761,15.724185193516387,19.222382786741086,20.89258241577618,0.2160622726660363,0.007527277668111787,10.897399517139595,348.71678454846705,0.9999194779425427,0.08067297504158157,0.0003123059219492599,3.1926944875423183e-06,True,0,1610,nan,5.84546196211031,2,-2.8523026177964024,-0.04167408099072567,0.009032137785222716,2.9929924244498025,-0.03069454625825685,0.05182079735191536,0.9432361249578611,1.0693240067338792,0.1125880853366649,0.19714408668881472,False,11,1.379647140935167,0.6898235704675835,False,64,0.5
0.09,294.5974701476904,0.18920374528586062,16336.614911496994,15.981394877637323,15.724185193516387,19.222382786741086,20.89258241577618,0.2513353713187075,0.009279979020079699,10.897399517139595,348.71678454846705,0.999932069902127,0.09625022691185518,0.00039217352098069706,4.020377398006873e-06,True,0,3102,nan,5.847054386747475,2,-2.847113882691282,-0.037838257212490234,0.002739257588647348,2.999687667100382,-0.042356217994196754,0.0569262206614809,1.0174075816411774,1.1422030065123203,0.11982350425957705,0.18920374528586062,False,17,1.5950957970054265,0.7975478985027132,False,64,0.5
0.1,327.167518185747,0.20195902453366535,16320.79993904031,15.983788218589103,15.732132722552274,19.222382786741086,20.89258241577618,0.28305180531323915,0.011161246799584707,10.897399517139595,348.71678454846705,0.9999293269508611,0.11183353045483348,0.00047918187986843605,4.92608683536985e-06,True,0,3603,nan,5.872095422689129,2,-2.858735762804587,-0.05884682832737731,-0.002788688538306161,3.0130397316971838,-0.05246065010003775,0.05817369381960802,1.0738314902267236,1.2374102939529827,0.13677128271284916,0.20195902453366535,False,24,1.789400457879299,0.8947002289396495,False,64,0.5
0.11,359.8508307302628,0.21384486952140466,16318.525831666393,15.9838021792833,15.732132722552274,19.222382786741086,20.886598574205422,0.3157817152833557,0.013156462430396436,10.897399517139595,348.71678454846705,0.9999380816049449,0.12757005386138826,0.0005742486638630575,5.91989221553903e-06,True,0,4099,nan,5.878104879082299,2,-2.8573729936520422,-0.07816013391846788,0.0012286720611207613,3.0205629014213287,-0.0787342519750478,0.04579607368600236,1.131131931525442,1.3111093115601622,0.14444728250398836,0.21384486952140466,False,31,1.948757029812878,0.974378514906439,False,64,0.5
0.12,392.487487506689,0.23809263544210021,16336.547951153718,15.98643467825312,15.732132722552274,19.222382786741086,20.886598574205422,0.34389427911432374,0.01525811151179502,10.897399517139595,348.71678454846705,0.9999417011497783,0.14354579375908438,0.0006781287030917715,7.01028424800863e-06,True,0,3830,nan,5.881779142022061,2,-2.850166623057458,-0.07863422528439656,-0.013099884437307807,3.0311898442772716,-0.12098683842044089,0.043275959913515294,1.2249048590226748,1.3652152637374944,0.14221025344967533,0.23809263544210021,False,24,1.789400457879299,0.8947002289396495,False,64,0.5
0.13,425.12288650683183,0.23594796007995514,16344.648781059082,15.986720901792122,15.732132722552274,19.222382786741086,20.89258241577618,0.35842341061728333,0.017456111082197218,10.897399517139595,348.71678454846705,0.9999370103144322,0.1593485963467195,0.0007893115476701322,8.18240793881958e-06,True,0,4962,nan,5.8479581005003265,2,-2.849771698714859,-0.09777042542440384,-0.012085677341232781,2.997454279953935,-0.1589363391439793,0.05734796426710176,1.2937216220418388,1.4381023498097791,0.17695674052050345,0.23594796007995514,False,53,2.330213711589465,1.1651068557947326,False,64,0.5
0.14,457.02042450383135,0.2579947973999259,16358.808934822699,15.995615518610109,15.732132722552274,19.235384061671343,20.89258241577618,0.3942676616406418,0.019736860758053365,10.897399517139595,348.71678454846705,0.9999513016324921,0.1754860501294509,0.0009108095131641238,9.468319432615814e-06,True,0,4716,nan,5.836215482961193,2,-2.8508679986878285,-0.09309348920623606,-0.02533595364990404,2.9840768781633358,-0.16690426893879362,0.07152175879250322,1.3577479484629953,1.4920411178645405,0.20446271618963388,0.2579947973999259,False,37,2.067145461454275,1.0335727307271374,False,64,0.5
0.15,489.7474319496697,0.26034057074117806,16380.968604052143,15.996029428337868,15.732132722552274,19.222382786741086,20.89258241577618,0.43322419665005846,0.022094481974303533,10.897399517139595,348.71678454846705,0.9999579118842138,0.19077162045675522,0.001036619856380347,1.0806333283565232e-05,True,0,5425,nan,5.837070355200264,2,-2.859583149107298,-0.10406816964676402,-0.008304509219764,2.976475338049312,-0.1788350900608986,0.0705724434142283,1.4209789510311888,1.530459129785826,0.19176924480178711,0.26034057074117806,False,63,2.4684100922353225,1.2342050461176612,False,64,0.5
0.16,522.2315899023502,0.22393989464741082,16385.037247766304,15.994892714761779,15.732132722552274,19.222382786741086,20.89258241577618,0.46397085438008323,0.024522744847070267,0.2945243112740431,9.42477796076938,0.9999604304735451,0.20567951320550523,0.0011690846933876888,1.2221323927758185e-05,True,0,7857,nan,5.877257229980104,2,-2.8933202426682154,-0.09947275597775018,-0.018502853159128918,2.9828721992726415,-0.17509803083169118,0.06393348854657077,1.4737793873173843,1.583066809104802,0.18554401190430422,0.22393989464741082,False,250,3.90796320898386,1.95398160449193,False,64,0.5
0.17,554.5485338300355,0.22814907963713088,16404.432038315805,15.99856757242151,15.732132722552274,19.235384061671343,20.89258241577618,0.48338423714048473,0.027015312589944683,0.2945243112740431,9.42477796076938,0.9999567145428844,0.22052911580799478,0.001310052048179023,1.3733260250386388e-05,True,0,8220,nan,5.876064152490251,2,-2.896932634081324,-0.09050397905435936,-0.012169419936174819,2.9780130896021966,-0.17118955039154216,0.06927078224725491,1.5075123083416582,1.6059146869997005,0.22020347899757448,0.22814907963713088,False,316,4.225383750035447,2.1126918750177235,False,64,0.5
0.18,586.4791516682775,0.29038348315472057,16400.983210271806,16.00184715442738,15.732132722552274,19.235384061671343,20.89258241577618,0.49379018924283763,0.029563619077620434,0.6872233929727672,21.991148575128552,0.9999661245814803,0.2349009105930128,0.0014572694457074262,1.5319303420192444e-05,True,0,6354,nan,5.875850530761935,2,-2.9152989873856754,-0.08382943575550073,-0.007335322549268497,2.9590886711018207,-0.17507156755492836,0.08681334207112457,1.563371231373626,1.642676827312484,0.2640395395892347,0.29038348315472057,False,96,2.840496169229977,1.4202480846149885,False,64,0.5
0.19,618.4243176639432,0.3576146523933294,16399.933912808763,15.995755142847838,15.732132722552274,19.235384061671343,20.89258241577618,0.504464856587224,0.03216199118846036,0.4908738521234052,15.707963267948966,0.9999647263003401,0.24880909747861396,0.001610622146748169,1.6978797654805677e-05,True,0,4414,nan,5.8801986828922574,2,-2.9455585747636484,-0.07466995346600314,-0.0027300224817601304,2.9323443231215798,-0.18305638055294793,0.12074651676194037,1.6533644609884626,1.7607259010357792,0.31499970513508796,0.3576146523933294,False,21,1.711499967172251,0.8557499835861255,False,64,0.5
0.2,650.6355878106782,0.3716942406394699,16410.20735680215,15.996902315022558,15.732132722552274,19.235384061671343,20.89258241577618,0.5073215280744371,0.03480579354943947,0.6872233929727672,21.991148575128552,0.9999678182382834,0.26219679706309296,0.0017695726576404491,1.8706625655829987e-05,True,0,4583,nan,5.864567494806266,2,-2.956405266544211,-0.05895717959598379,0.0289889443579483,2.905481809745446,-0.18562963079991235,0.15302884145777895,1.697967004425737,1.8360579181660217,0.33707405863680545,0.3716942406394699,False,23,1.7641942770035128,0.8820971385017564,False,64,0.5
0.21,682.3552680707701,0.4159970900940954,16424.94206129249,15.998212061208683,15.732132722552274,19.235384061671343,20.89258241577618,0.5198042122579429,0.03749092081750441,0.2945243112740431,9.42477796076938,0.9999659779486335,0.27556637361267317,0.0019375733678009344,2.0539955529836476e-05,True,0,3773,nan,5.825563632309329,2,-2.952270979755802,-0.0476906631682219,0.07335709166052595,2.869900443315892,-0.22351757955373408,0.16607413392755888,1.7245662739181462,1.9534205068961668,0.336958394370742,0.4159970900940954,False,17,1.5950957970054265,0.7975478985027132,False,64,0.5
0.22,714.7877305947522,0.3922016761322539,16441.485978666933,15.997293404292128,15.732132722552274,19.235384061671343,20.89258241577618,0.5887749275694726,0.040212813062268135,0.2945243112740431,9.42477796076938,0.9999652228069872,0.2879159284459287,0.002107485666394922,2.2403740699927454e-05,True,0,5073,nan,5.786841020958576,2,-2.9380851326972,-0.0279313477465557,0.10894825983336887,2.8448567787912182,-0.2302808583164122,0.17349689089336096,1.798026891281261,2.0270011531820895,0.30409880910876214,0.3922016761322539,False,31,1.948757029812878,0.974378514906439,False,64,0.5
0.23,746.1997178514212,0.3337559411241902,16441.914391919272,15.998527127821568,15.732132722552274,19.235384061671343,20.89258241577618,0.6458276729721287,0.042971351202518014,0.2945243112740431,9.42477796076938,0.9999643496033043,0.3003901688245682,0.0022872046983573374,2.4382272153804373e-05,True,0,7513,nan,5.727520210248318,2,-2.903408014673122,0.007573447720290005,0.13533962696163826,2.8186398410473217,-0.23981563867071465,0.17348062305028833,1.8587754360660824,2.057921255032976,0.2627674058797229,0.3337559411241902,False,153,3.317932963569071,1.6589664817845355,False,64,0.5
0.24,778.0242782330023,0.3207339031404264,16456.834621023594,15.994522360506853,15.732132722552274,19.235384061671343,20.89258241577618,0.6851982251391011,0.04575605669997432,0.2945243112740431,9.42477796076938,0.9999657720554656,0.31228478076115224,0.0024718194484082594,2.6424115750007442e-05,True,0,8246,nan,5.685509907675265,2,-2.8660530634296144,0.03532554716339931,0.11863948587559392,2.8123458743914718,-0.243556479637979,0.17371423828654997,1.944549384604516,2.11124563661976,0.22545022065537,0.3207339031404264,False,291,4.11087994016685,2.055439970083425,False,64,0.5
0.25,810.1576150009546,0.3282047498005999,16476.089109860724,15.995606274915158,15.732132722552274,19.222382786741086,20.89258241577618,0.7131880227223235,0.04856966622270468,0.4908738521234052,15.707963267948966,0.9999671844676332,0.3235726274329549,0.0026605908982543698,2.8521768361371724e-05,True,0,8392,nan,5.646278984615625,2,-2.8270600858728,0.047616480307247855,0.10672354217713931,2.8111478765179356,-0.24454192312498968,0.18235959343371633,1.9866921751405935,2.173577956028204,0.20154576832744206,0.29553774105456526,False,302,4.1620386723174185,2.0810193361587093,False,64,0.5
0.26,842.29615338649,0.31031179957742566,16474.31833772233,15.996145100878676,15.732132722552274,19.222382786741086,20.89258241577618,0.7272871685353439,0.05141126901586961,0.4908738521234052,15.707963267948966,0.9999723002604567,0.33400288253834143,0.002851057041901715,3.0649205648323875e-05,True,0,9069,nan,5.643409746665872,2,-2.816460883980069,0.01761851579827578,0.11023847387907182,2.8200348996246127,-0.2490813514869341,0.1930637777424593,2.0859423180813668,2.2467557089072225,0.19157154230487208,0.24898844570281303,False,575,5.158535359611894,2.579267679805947,False,64,0.5
0.27,873.7192123799471,0.36207178227138087,16483.502625087196,15.992537885191908,15.732132722552274,19.222382786741086,20.89258241577618,0.7263784103185192,0.054275378428983084,0.4908738521234052,15.707963267948966,0.9999737398911547,0.34478910968624565,0.0030532911067019347,3.291521951985837e-05,True,0,8265,nan,5.628454683059259,2,-2.803083156600726,0.0041946301499358185,0.11560696399618209,2.818775836442363,-0.25698860579148963,0.19298201718135743,2.1420827316186926,2.3175378757652436,0.22961783260167165,0.27345392984248085,False,264,3.979590992379178,1.989795496189589,False,64,0.5
0.28,905.67708967091,0.3558381656618343,16458.549118156578,15.992878248694451,15.732132722552274,19.222382786741086,20.89258241577618,0.7176513438840112,0.057162347801743285,0.2945243112740431,9.42477796076938,0.9999724214259776,0.35405645639428246,0.0032503752682309164,3.5137938933020315e-05,True,0,8723,nan,5.669823604230098,2,-2.835006719701429,-0.014099331308550234,0.11331178764680772,2.829082765287037,-0.25715765274001434,0.1902056203694933,2.190585772886199,2.4035220654228944,0.2713257488915407,0.2675499572097404,False,408,4.601052455660458,2.300526227830229,False,64,0.5
0.29,937.760981936936,0.4200154177040462,16448.274805931094,15.99043530573801,15.724185193516387,19.222382786741086,20.89258241577618,0.6966744360679342,0.060069890777377614,0.4908738521234052,15.707963267948966,0.9999699125913206,0.3631979446976187,0.0034539926281625362,3.744351110279769e-05,True,0,7548,nan,5.682658016674946,2,-2.841251622045016,-0.015171716869044616,0.08979679363276816,2.8345726501969395,-0.27046638438687687,0.20135663338734133,2.3051314044373896,2.435768048409573,0.2766866435000839,0.29357257020797284,False,173,3.4566268408841534,1.7283134204420767,False,64,0.5
0.3,969.9782536468902,0.4149458184053634,16453.538331624568,15.990210615205001,15.724185193516387,19.222382786741086,20.89258241577618,0.6796165005994396,0.06299937329535404,0.4908738521234052,15.707963267948966,0.9999719707812893,0.3722980067293968,0.0036648194379365613,3.983982162762553e-05,True,0,7959,nan,5.695666969142764,2,-2.863588038282023,-0.022725712124223918,0.07384981023152903,2.8250986035011145,-0.2731539751678458,0.20328010054630852,2.364919193342116,2.479450282459477,0.3511939508720585,0.3061997859645328,False,227,3.784243578383727,1.8921217891918636,False,64,0.5
