t,planted,norm,peak,PR,R_rms,mass_p,peak_p,d_p,mass_m,peak_m,d_m,peak_in_p,peak_in_m
0.0,False,0.9999999403953552,1.436251163482666,1.8873066103485516,0.6117469882808411,2.87934441054257e-29,2.3034752876928128e-28,3.9999998326578945,2.87934441054257e-29,2.3034752876928128e-28,3.9999998326578936,False,False
0.005,False,17.38715934753418,1.4063067436218262,564.0865446037998,15.527075179217364,0.13396798074245453,0.0039823842234909534,0.08470923148500101,0.13002590835094452,0.0038872610311955214,0.03671142778424897,False,False
0.01,False,33.690528869628906,1.3647541999816895,1943.916073852144,15.756272167982099,0.2628331780433655,0.006960323546081781,0.08466411375647916,0.2608402967453003,0.00780682684853673,0.05805772312922366,False,False
0.015,False,49.97001647949219,1.3397414684295654,3815.2845144602134,15.837019652903487,0.3850947618484497,0.010867620818316936,0.05672177295049953,0.41321563720703125,0.01053505390882492,0.046022474670066364,False,False
0.02,False,66.26792907714844,1.4343373775482178,5426.058755436391,15.871199391736475,0.5187156200408936,0.015856768935918808,0.08179790422153453,0.549352765083313,0.0169869102537632,0.03441475735361351,False,False
0.025,False,82.88883972167969,1.4884189367294312,6970.4131543986605,15.896339196883503,0.6578606367111206,0.020724210888147354,0.06336413460049863,0.6752474904060364,0.019859356805682182,0.035803788655052814,False,False
0.03,False,99.06836700439453,1.468442678451538,8555.785612700056,15.91178720286927,0.7893821001052856,0.022677861154079437,0.05416064004432041,0.816189169883728,0.02696233242750168,0.052356220299794545,False,False
0.035,False,115.43386840820312,1.5589338541030884,9542.110310957505,15.9204495004627,0.9288133978843689,0.027901984751224518,0.0684616293364322,0.957000732421875,0.02808194048702717,0.027484577937387008,False,False
0.04,False,131.6935272216797,1.6575387716293335,10326.343665252723,15.930768661939,1.0612592697143555,0.031433649361133575,0.04899248512120784,1.0838311910629272,0.04180226847529411,0.01487768533686486,False,False
0.045,False,147.84654235839844,1.6965736150741577,11082.057003016822,15.941521427015713,1.207818865776062,0.03096443973481655,0.017382861404452582,1.204176425933838,0.05094876140356064,0.02681359366666985,False,False
0.05,False,164.2045440673828,1.7744402885437012,11680.22165222552,15.946332968283679,1.3445649147033691,0.0401105172932148,0.037557628343918785,1.3057870864868164,0.03924109414219856,0.05003037152245691,False,False
0.055,False,180.61495971679688,1.7731863260269165,12331.048147864907,15.947393135098705,1.490522027015686,0.05292227491736412,0.0545138129833243,1.4032106399536133,0.03937605768442154,0.03242602307619662,False,False
0.06,False,196.8631134033203,1.8313676118850708,12760.025043672262,15.949410564724998,1.6346487998962402,0.05906549096107483,0.07606912002749149,1.5518280267715454,0.03963175788521767,0.032603539021173265,False,False
0.065,False,213.29612731933594,1.947391152381897,13009.027088974659,15.958335042843816,1.7335432767868042,0.06249026954174042,0.07358749717845832,1.6972442865371704,0.04216039180755615,0.034342365764301115,False,False
0.07,False,229.46554565429688,2.0506346225738525,13286.58670967008,15.967206149109863,1.861732006072998,0.06664658337831497,0.06790726814054919,1.8275150060653687,0.052145492285490036,0.023941307614386467,False,False
0.075,False,245.741943359375,2.1653292179107666,13443.113704152336,15.970999133020834,2.037353277206421,0.07087995857000351,0.04618985287503339,1.9580990076065063,0.0642770528793335,0.02608383110092362,False,False
0.08,False,262.0440368652344,2.281956911087036,13649.065523898926,15.97560904799901,2.1717655658721924,0.06048549339175224,0.04546513433642691,2.0689947605133057,0.06867218762636185,0.01782647484880403,False,False
0.085,False,278.2984924316406,2.4328601360321045,13697.443293093866,15.975769448441072,2.305826425552368,0.0698135644197464,0.054057732082055616,2.187692642211914,0.09044017642736435,0.04286519297031467,False,False
0.09,False,294.59356689453125,2.74766206741333,13574.960213078928,15.980332872583876,2.45339298248291,0.07725362479686737,0.04578389749532455,2.3008482456207275,0.08822227269411087,0.03400790013336883,False,False
0.095,False,311.1101989746094,2.8352975845336914,13717.583116491622,15.98073529869664,2.5939223766326904,0.0820288136601448,0.04275269803067478,2.428471565246582,0.09428703784942627,0.029344426972365677,False,False
0.1,False,327.1549072265625,2.892598867416382,13867.058416698555,15.983025327093387,2.7429146766662598,0.07787264138460159,0.049482852264549584,2.5503334999084473,0.0930834412574768,0.046694636660293644,False,False
0.105,False,343.4721984863281,2.974576950073242,13984.119517969686,15.98603563748936,2.888827085494995,0.08910621702671051,0.05924257019256379,2.682765483856201,0.08680471032857895,0.04552421153103781,False,False
0.11,False,359.8212890625,3.1175944805145264,14036.599729339578,15.9834769272976,3.0515174865722656,0.08798108249902725,0.0666632045399579,2.8017184734344482,0.08556552231311798,0.036673720943217476,False,False
0.115,False,376.11785888671875,3.2543752193450928,14080.430133554932,15.983481164398775,3.1593151092529297,0.10142255574464798,0.06572875657408958,2.914583206176758,0.08625950664281845,0.024494298130691615,False,False
0.12,False,392.45953369140625,3.526566982269287,13976.098181289608,15.986094338468481,3.322864294052124,0.10106753557920456,0.05804397825770756,3.0882108211517334,0.0850633904337883,0.03472690481529802,False,False
0.125,False,408.7898254394531,3.7424936294555664,13929.824069918874,15.987025199968585,3.4947562217712402,0.10470474511384964,0.05104783207550019,3.2261085510253906,0.08887956291437149,0.032306327286299154,False,False
0.13,False,425.093017578125,3.9134938716888428,13923.063791381523,15.986429943778656,3.5984015464782715,0.1148894727230072,0.05893080392589966,3.3990797996520996,0.08814621716737747,0.04393101216670041,False,False
0.135,False,440.933349609375,4.111690998077393,13890.878133597203,15.989789742810732,3.6935641765594482,0.10752636194229126,0.07339440599028396,3.5319390296936035,0.09211007505655289,0.06012936249812671,False,False
0.14,False,456.977294921875,4.271633148193359,13901.90974528875,15.995570320467737,3.8175289630889893,0.11509822309017181,0.0702402735081077,3.6629886627197266,0.09719184786081314,0.06165503107106083,False,False
0.145,False,473.46392822265625,4.528036117553711,13808.092233224166,15.994741848722303,3.95167875289917,0.10538165271282196,0.06663022471010627,3.8000571727752686,0.10588385909795761,0.05955537351467898,False,False
0.15,False,489.7428283691406,4.629052639007568,13881.624943779485,15.995362128776225,4.0783796310424805,0.11611918359994888,0.05431075759894432,3.941251516342163,0.1106831505894661,0.057060509618603296,False,False
0.155,False,505.7532958984375,4.7338738441467285,13931.640867191985,15.99444135006648,4.200383186340332,0.1085679680109024,0.05114126609657524,4.065823554992676,0.11663708090782166,0.049456668528811296,False,False
0.16,False,522.2544555664062,4.966579437255859,13864.748070698508,15.993853558421776,4.333150386810303,0.11498107016086578,0.0474677068780751,4.177249431610107,0.1261865794658661,0.04074943927516986,False,False
0.165,False,538.4359741210938,5.125243186950684,13872.198127194773,15.996777312828803,4.449364185333252,0.12381753325462341,0.04563379331657874,4.303102493286133,0.15306328237056732,0.036019801953432136,False,False
0.17,False,554.6033325195312,5.221682071685791,13923.671919917915,15.997146830568148,4.571274757385254,0.1148553118109703,0.034105870441508694,4.424464225769043,0.15644563734531403,0.037871666395196214,False,False
0.17500000000000002,False,570.2969360351562,5.313260555267334,13970.119561856754,15.994649487206678,4.731532573699951,0.1297062188386917,0.03826055052314822,4.621466636657715,0.16102783381938934,0.027581931533550152,False,False
0.18,False,586.5339965820312,5.351917743682861,14053.14363532515,16.0005086899576,4.884405136108398,0.12143751233816147,0.039136607065707894,4.702702045440674,0.17739950120449066,0.04158670911339419,False,False
0.185,False,602.5047607421875,5.373974323272705,14140.219417689188,15.998262142725995,5.0147013664245605,0.12227635830640793,0.030795468923583466,4.833446502685547,0.19111835956573486,0.03225635921741223,False,False
0.19,False,618.4458618164062,5.356314659118652,14260.935138448724,15.994896162761773,5.1451520919799805,0.13872681558132172,0.03493206808129077,4.978816032409668,0.2112748920917511,0.030617501982060032,False,False
0.195,False,634.460693359375,5.293642520904541,14396.493868157077,15.996615279038645,5.292291641235352,0.13985475897789001,0.038415961285377075,5.109992027282715,0.20176613330841064,0.025085778865309407,False,False
0.2,False,650.6057739257812,5.232145309448242,14532.465166822398,15.99669911850448,5.404677391052246,0.1545235812664032,0.05234666781514895,5.217248916625977,0.18541550636291504,0.013188438323366367,False,False
