t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,seed,N,dx,backend
0.0,0.9999999403953552,1.436251163482666,1.887306822655949,0.6117469882808411,0.5,0.7071067811865476,0.8660254037844386,0.0,0.0,0.2945243112740431,9.42477796076938,0.9988205432891846,0.0,0.0,0.0,True,1,0.6203504908994001,0.31017524544970004,True,25,64,0.5,mlx
0.1,326.9686279296875,3.0499279499053955,13712.071599189718,15.962812540116312,15.708278072405008,19.222382786741086,20.886598574205422,4.338282853737473,0.011158195566111816,10.897399517139595,348.71678454846705,0.9999661445617676,0.13438999926609096,0.000622422001140617,6.4269324660397445e-06,True,1,0.6203504908994001,0.31017524544970004,True,25,64,0.5,mlx
0.2,650.0755004882812,5.013073444366455,14627.915576588677,15.977774374830792,15.724185193516387,19.215878850575635,20.868636754709208,10.60390244051814,0.034755727224300884,10.701049976290232,342.4335992412874,0.9999784231185913,0.28496747487240864,0.002018379833932335,2.140674564492832e-05,True,1,0.6203504908994001,0.31017524544970004,True,25,64,0.5,mlx
0.3,970.88232421875,2.0051350593566895,16264.94553176865,15.992243888293249,15.732132722552274,19.222382786741086,20.886598574205422,10.841514061763883,0.06301458683054095,10.897399517139595,348.71678454846705,0.9999788403511047,0.39435620687834816,0.004124803850747298,4.50365443238173e-05,True,1,0.6203504908994001,0.31017524544970004,True,25,64,0.5,mlx
0.4,1288.82373046875,0.7965302467346191,16375.187803239853,15.987516623912722,15.732132722552274,19.209372712298546,20.886598574205422,5.872926454991102,0.09310991437274756,10.897399517139595,348.71678454846705,0.9999829530715942,0.45159775157111137,0.0063410626805661145,7.118047228004592e-05,True,11,1.379647140935167,0.6898235704675835,False,25,64,0.5,mlx
0.5,1599.5908203125,0.5505186915397644,16353.145078976659,15.993039577198429,15.724185193516387,19.222382786741086,20.89258241577618,2.6243921548128126,0.12372253259432958,10.897399517139595,348.71678454846705,0.9999827742576599,0.5010509969013291,0.009032090714627182,0.00010414307006857104,True,949,6.096199921914612,3.048099960957306,False,25,64,0.5,mlx
0.6,1905.82177734375,0.8291149735450745,16367.266845187027,15.990503279041913,15.732132722552274,19.235384061671343,20.89258241577618,1.374461518554017,0.15449809900051556,10.897399517139595,348.71678454846705,0.9999709129333496,0.5410480503978415,0.01219305403521028,0.00014442381085458914,True,209,3.681452705525917,1.8407263527629585,False,25,64,0.5,mlx
0.7000000000000001,2214.912109375,0.8116161227226257,16418.453308135402,15.989982492900634,15.732132722552274,19.222382786741086,20.89258241577618,1.874032750306651,0.18549667291011368,10.897399517139595,348.71678454846705,0.9999703764915466,0.5683120619355451,0.015671392663752587,0.00019074539052636114,True,617,5.281194774669723,2.6405973873348616,False,25,64,0.5,mlx
0.8,2517.6240234375,0.9991747736930847,16335.31238536595,15.99461067540649,15.732132722552274,19.235384061671343,20.89258241577618,1.9889436286874116,0.21679540052577378,10.897399517139595,348.71678454846705,0.9999710917472839,0.5893577052288915,0.019400123833579308,0.00024262708367619583,True,416,4.630930256838134,2.315465128419067,False,25,64,0.5,mlx
0.9,2816.32177734375,1.0819664001464844,16401.69967425794,15.998105668794693,15.748015748023622,19.241881404893856,20.89258241577618,2.239236605213955,0.24784563792846256,10.897399517139595,348.71678454846705,0.9999735355377197,0.6099918605183899,0.023599442229685342,0.0003032841180147843,True,471,4.826631015183052,2.413315507591526,False,25,64,0.5,mlx
1.0,3114.716796875,1.1428030729293823,16369.239067260292,15.996675944784931,15.732132722552274,19.235384061671343,20.89258241577618,2.7150725293904543,0.27893604298054087,10.897399517139595,348.71678454846705,0.9999706745147705,0.6220094747703164,0.027851666220572596,0.00036781447442808644,True,660,5.401135948278224,2.700567974139112,False,25,64,0.5,mlx
1.1,3408.599609375,1.14933180809021,16432.048232621204,15.994263866742578,15.732132722552274,19.241881404893856,20.89258241577618,2.5113918530754744,0.31013733025399226,10.897399517139595,348.71678454846705,0.9999726414680481,0.6354841755996636,0.03251940316686547,0.000441269664856372,True,1001,6.205572055068019,3.1027860275340093,False,25,64,0.5,mlx
1.2,3697.794921875,1.2317153215408325,16408.478020575298,15.995876751735983,15.732132722552274,19.241881404893856,20.89258241577618,2.892379507422447,0.34132923902876816,10.897399517139595,348.71678454846705,0.9999673962593079,0.6447108092416414,0.03724344597481237,0.0005192317894748657,True,1104,6.411507500999382,3.205753750499691,False,25,64,0.5,mlx
1.3,3989.5908203125,1.7520424127578735,16505.241117936363,15.998305686419341,15.732132722552274,19.241881404893856,20.886598574205422,3.4182838896289467,0.37251685556577574,10.897399517139595,348.71678454846705,0.999969482421875,0.6539782869731713,0.042307764484317514,0.0006059412159216543,True,188,3.5537735171126714,1.7768867585563357,False,25,64,0.5,mlx
1.4000000000000001,4275.62109375,1.4522483348846436,16527.922754485386,15.995794404298637,15.732132722552274,19.241881404893856,20.886598574205422,3.2254324003122745,0.4038194801177882,10.897399517139595,348.71678454846705,0.9999739527702332,0.6614702400673489,0.04742690247099783,0.0006976828834854949,True,921,6.035644802388966,3.017822401194483,False,25,64,0.5,mlx
1.5,4556.2470703125,1.7460284233093262,16528.18750520649,15.991751027564984,15.732132722552274,19.235384061671343,20.886598574205422,3.76193712875247,0.43487611051068886,10.897399517139595,348.71678454846705,0.9999744892120361,0.6662401653626385,0.05265544320304974,0.0007955451411337036,True,454,4.767848142335157,2.3839240711675784,False,25,64,0.5,mlx
1.6,4837.84716796875,1.5368173122406006,16553.549670865756,15.996551761065067,15.732132722552274,19.235384061671343,20.886598574205422,3.5314440748654308,0.4659529500434598,10.897399517139595,348.71678454846705,0.9999796152114868,0.6727303149288484,0.05798986895857992,0.0008996334595465012,True,1298,6.766987294321123,3.3834936471605617,False,25,64,0.5,mlx
1.7,5115.94482421875,2.1750905513763428,16596.380683038347,15.993594260784532,15.732132722552274,19.235384061671343,20.886598574205422,4.0844352690503,0.496978055098522,10.701049976290232,342.4335992412874,0.9999837875366211,0.6790674899204512,0.06353914445729117,0.0010118626519382604,True,208,3.6755717806481094,1.8377858903240547,False,25,64,0.5,mlx
1.8,5385.7333984375,2.2997682094573975,16677.17354235789,15.989953198389738,15.732132722552274,19.222382786741086,20.89258241577618,4.3732165457680825,0.5277270352060663,10.701049976290232,342.4335992412874,0.9999845623970032,0.683937684919289,0.06944650563429193,0.0011352556505879587,True,177,3.483064784543041,1.7415323922715205,False,25,64,0.5,mlx
