node,x,y,z,peak_value,degree,nn_distance
0,0.0,0.0,0.0,0.05730191915474479,0,7.959899496852961
1,15.200000000000003,15.200000000000003,-4.799999999999999,2.3056620557041518e-05,3,4.079215610874229
2,14.400000000000002,-11.2,-16.0,2.275883331632993e-05,0,12.026637102698327
3,1.6000000000000014,15.200000000000003,11.200000000000003,2.2246549507174298e-05,1,4.308131845707604
4,-16.0,-16.0,15.200000000000003,2.1021308223602312e-05,0,10.182337649086286
5,-16.0,2.400000000000002,3.200000000000003,2.0524475529222616e-05,1,4.156921938165308
6,-11.2,-2.3999999999999986,8.0,2.021624155047211e-05,2,5.059644256269408
7,-4.799999999999999,-16.0,5.600000000000001,1.989636542017474e-05,1,4.0
8,-4.0,-4.799999999999999,-16.0,1.989237542114566e-05,2,4.000000000000001
9,12.8,14.400000000000002,-1.5999999999999996,1.972957629722171e-05,3,4.079215610874229
10,-16.0,-4.0,8.0,1.969437950527238e-05,1,5.059644256269408
11,15.200000000000003,8.8,-4.0,1.939293812731015e-05,6,4.866210024238576
12,11.200000000000003,11.200000000000003,-16.0,1.897270406953154e-05,0,8.390470785361211
13,-6.399999999999999,14.400000000000002,-16.0,1.894829311422834e-05,1,4.3817804600413295
14,-6.399999999999999,15.200000000000003,6.400000000000002,1.883445584229238e-05,1,2.771281292110205
15,8.8,15.200000000000003,15.200000000000003,1.8805920171173423e-05,0,8.2365041127896
16,15.200000000000003,7.200000000000003,8.8,1.8634745699019147e-05,1,5.599999999999998
17,15.200000000000003,3.200000000000003,-1.5999999999999996,1.856454435452492e-05,3,6.092618484691124
18,-12.0,-4.799999999999999,15.200000000000003,1.8542742599702623e-05,1,7.631513611335568
19,15.200000000000003,7.200000000000003,3.200000000000003,1.8391370218707494e-05,3,5.599999999999998
20,-8.0,15.200000000000003,-12.0,1.8351301633296114e-05,1,4.3817804600413295
21,-0.7999999999999989,-5.6,5.600000000000001,1.833253755601736e-05,1,4.93153120237518
22,-4.799999999999999,-7.199999999999999,3.200000000000003,1.8262594076959764e-05,1,4.93153120237518
23,-0.7999999999999989,5.600000000000001,14.400000000000002,1.8251909247282804e-05,0,10.4
24,-0.7999999999999989,-16.0,5.600000000000001,1.824913277044871e-05,1,4.0
25,15.200000000000003,0.8000000000000007,-16.0,1.8228990734836007e-05,0,9.863062404750364
26,-3.1999999999999993,-0.7999999999999989,-12.8,1.811048152339019e-05,2,4.308131845707603
27,-0.7999999999999989,-2.3999999999999986,-16.0,1.800515404091687e-05,2,4.000000000000001
28,8.0,12.8,1.6000000000000014,1.798868597440936e-05,1,5.9866518188383075
29,-16.0,12.8,15.200000000000003,1.7853309863682463e-05,0,13.24235628579748
30,-7.199999999999999,-12.0,12.0,1.7773224903865707e-05,0,7.919595949289331
31,-15.2,1.6000000000000014,-0.7999999999999989,1.772667079788796e-05,1,4.156921938165308
32,1.6000000000000014,-8.0,-2.3999999999999986,1.7723726447097057e-05,0,8.504116650187719
33,-14.4,-11.2,-16.0,1.7714447996537105e-05,1,2.8844410203711903
34,-4.799999999999999,13.600000000000001,4.800000000000001,1.7648862116406263e-05,1,2.771281292110205
35,15.200000000000003,9.600000000000001,-8.8,1.7634235096508132e-05,3,4.866210024238576
36,3.200000000000003,15.200000000000003,7.200000000000003,1.751056234166496e-05,1,4.308131845707604
37,12.0,5.600000000000001,-8.0,1.7388924697828617e-05,3,5.1845925587262895
38,-16.0,-8.8,-16.0,1.7373399686325948e-05,1,2.8844410203711903
