t,norm,peak,PR,R_rms,k_star,k_star_L,crystallinity,i_star
0.0,1.0000000000000002,1.4366969769095943,1.968662709604115,0.6123724353664733,0.47123889803846897,9.42477796076938,0.9952294968707962,1
0.04,1.0000000000000078,1.6932456400159648,1.8828218835472823,0.6123487621071965,0.47123889803846897,9.42477796076938,0.995215956269209,1
0.08,1.0000000000000147,2.5016579960059206,1.595714040066545,0.6123697576199889,0.47123889803846897,9.42477796076938,0.9951861847808758,1
0.12,1.000000000000021,4.20673629704615,1.0674997093892227,0.6113010431833441,0.47123889803846897,9.42477796076938,0.995184052846158,1
0.16,1.000000000000027,8.684754280724075,0.39597851028125486,0.6050514227981831,0.47123889803846897,9.42477796076938,0.995447223269454,1
0.2,1.000000000000031,14.546938708130867,0.15298868525499454,0.6063174587614045,0.47123889803846897,9.42477796076938,0.996639482720456,1
0.24,1.0000000000000346,8.195407021505298,0.44510174867919433,0.6555890727336141,0.47123889803846897,9.42477796076938,0.9959741089515001,1
0.28,1.000000000000041,2.9825591164388188,1.6136038477398034,0.7099834273176903,0.47123889803846897,9.42477796076938,0.9953077152810086,1
0.32,1.0000000000000477,0.643864971615765,3.0117711409859558,0.7694965897160931,0.47123889803846897,9.42477796076938,0.9949035076822381,1
0.36,1.0000000000000548,0.442673590535989,4.399571132073356,0.8367011897084765,0.47123889803846897,9.42477796076938,0.9945655761512595,1
0.4,1.000000000000062,0.29584490558181664,6.270617028333161,0.9107347311212782,0.47123889803846897,9.42477796076938,0.9942907185301388,1
0.44,1.0000000000000682,0.2707507423614634,8.30593820275451,0.9905960908948402,0.47123889803846897,9.42477796076938,0.9940590288713835,1
0.48,1.0000000000000753,0.23064531561061774,10.478647270279623,1.075181783836652,0.47123889803846897,9.42477796076938,0.9938568556509487,1
0.52,1.0000000000000813,0.21478048573042055,12.847303386336586,1.1635588415936498,0.47123889803846897,9.42477796076938,0.9936762782929037,1
0.56,1.0000000000000886,0.19031158760694974,15.465299954076942,1.2549884903597797,0.47123889803846897,9.42477796076938,0.9935130751670204,1
