t,Re_c,Im_c,abs_c,rho2,V_mem_x0
0.000000,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,4.737439579767e-01,0.000000000000e+00
0.010000,9.999766647470e-01,-5.252460664967e-04,9.999768026919e-01,4.737330496968e-01,0.000000000000e+00
0.020000,9.999066642455e-01,-1.048808527589e-03,9.999072142964e-01,4.738047615722e-01,0.000000000000e+00
0.030000,9.997900143827e-01,-1.569005803601e-03,9.997912455301e-01,4.739481497855e-01,0.000000000000e+00
0.040000,9.996267420161e-01,-2.084160390911e-03,9.996289146870e-01,4.741631395602e-01,0.000000000000e+00
0.050000,9.994168855325e-01,-2.592600960664e-03,9.994202482775e-01,4.744496095838e-01,0.000000000000e+00
0.060000,9.991604956111e-01,-3.092664528074e-03,9.991652819047e-01,4.748073813226e-01,0.000000000000e+00
0.070000,9.988576361730e-01,-3.582698712144e-03,9.988640613573e-01,4.752362052591e-01,0.000000000000e+00
0.080000,9.985083854920e-01,-4.061064102522e-03,9.985166438971e-01,4.757357444576e-01,0.000000000000e+00
0.090000,9.981128374409e-01,-4.526136746364e-03,9.981230997118e-01,4.763055559553e-01,0.000000000000e+00
0.100000,9.976711028405e-01,-4.976310763575e-03,9.976835135010e-01,4.769450705603e-01,0.000000000000e+00
0.110000,9.971833108770e-01,-5.410001093722e-03,9.971979861609e-01,4.776535717070e-01,0.000000000000e+00
0.120000,9.966496105521e-01,-5.825646372369e-03,9.966666365287e-01,4.784301740771e-01,0.000000000000e+00
0.130000,9.960701721268e-01,-6.221711928809e-03,9.960896031483e-01,4.792738027171e-01,0.000000000000e+00
0.140000,9.954451885224e-01,-6.596692891358e-03,9.954670460189e-01,4.801831733899e-01,0.000000000000e+00
0.150000,9.947748766418e-01,-6.949117380871e-03,9.947991482858e-01,4.811567748573e-01,0.000000000000e+00
0.160000,9.940594785780e-01,-7.277549768148e-03,9.940861178396e-01,4.821928537276e-01,0.000000000000e+00
0.170000,9.932992626787e-01,-7.580593966769e-03,9.933281887891e-01,4.832894023995e-01,0.000000000000e+00
0.180000,9.924945244415e-01,-7.856896729768e-03,9.925256227788e-01,4.844441505142e-01,0.000000000000e+00
0.190000,9.916455872185e-01,-8.105150916621e-03,9.916787101281e-01,4.856545601844e-01,0.000000000000e+00
0.200000,9.907528027162e-01,-8.324098696310e-03,9.907877707709e-01,4.869178251293e-01,0.000000000000e+00
0.210000,9.898165512785e-01,-8.512534652700e-03,9.898531549836e-01,4.882308736986e-01,0.000000000000e+00
0.220000,9.888372419505e-01,-8.669308760070e-03,9.888752438921e-01,4.895903756419e-01,0.000000000000e+00
0.230000,9.878153123235e-01,-8.793329199162e-03,9.878544497542e-01,4.909927523678e-01,0.000000000000e+00
0.240000,9.867512281656e-01,-8.883564987442e-03,9.867912160194e-01,4.924341903471e-01,0.000000000000e+00
0.250000,9.856454828484e-01,-8.939048401082e-03,9.856860171707e-01,4.939106572507e-01,0.000000000000e+00
0.260000,9.844985965823e-01,-8.958877170410e-03,9.845393583563e-01,4.954179203718e-01,0.000000000000e+00
0.270000,9.833111154754e-01,-8.942216434884e-03,9.833517748254e-01,4.969515668631e-01,0.000000000000e+00
0.280000,9.820836104337e-01,-8.888300447970e-03,9.821238311778e-01,4.985070253230e-01,0.000000000000e+00
0.290000,9.808166759214e-01,-8.796434026461e-03,9.808561204464e-01,5.000795882833e-01,0.000000000000e+00
0.300000,9.795109285998e-01,-8.665993742565e-03,9.795492630256e-01,5.016644351808e-01,0.000000000000e+00
0.310000,9.781670058643e-01,-8.496428860622e-03,9.782039054639e-01,5.032566554395e-01,0.000000000000e+00
0.320000,9.767855642985e-01,-8.287262023287e-03,9.768207191363e-01,5.048512713341e-01,0.000000000000e+00
0.330000,9.753672780641e-01,-8.038089694614e-03,9.754003988127e-01,5.064432603566e-01,0.000000000000e+00
0.340000,9.739128372416e-01,-7.748582369574e-03,9.739436611390e-01,5.080275768603e-01,0.000000000000e+00
0.350000,9.724229461410e-01,-7.418484561181e-03,9.724512430424e-01,5.095991728004e-01,0.000000000000e+00
0.360000,9.708983215930e-01,-7.047614577607e-03,9.709239000784e-01,5.111530174402e-01,0.000000000000e+00
0.370000,9.693396912373e-01,-6.635864102485e-03,9.693624047282e-01,5.126841159311e-01,0.000000000000e+00
0.380000,9.677477918164e-01,-6.183197592059e-03,9.677675446604e-01,5.141875267120e-01,0.000000000000e+00
0.390000,9.661233674869e-01,-5.689651502991e-03,9.661401209651e-01,5.156583777062e-01,0.000000000000e+00
0.400000,9.644671681554e-01,-5.155333364523e-03,9.644809463706e-01,5.170918813180e-01,0.000000000000e+00
0.410000,9.627799478469e-01,-4.580420708365e-03,9.627908434494e-01,5.184833482551e-01,0.000000000000e+00
0.420000,9.610624631107e-01,-3.965159869189e-03,9.610706428214e-01,5.198282002175e-01,0.000000000000e+00
0.430000,9.593154714687e-01,-3.309864667989e-03,9.593211813587e-01,5.211219815051e-01,0.000000000000e+00
0.440000,9.575397299102e-01,-2.614914989834e-03,9.575433003979e-01,5.223603696080e-01,0.000000000000e+00
0.450000,9.557359934341e-01,-1.880755266783e-03,9.557378439645e-01,5.235391848429e-01,0.000000000000e+00
0.460000,9.539050136423e-01,-1.107892875924e-03,9.539056570115e-01,5.246543991061e-01,0.000000000000e+00
0.470000,9.520475373834e-01,-2.968964616633e-04,9.520475836771e-01,5.257021438104e-01,0.000000000000e+00
0.480000,9.501643054488e-01,5.516058093726e-04,9.501644655627e-01,5.266787170721e-01,0.000000000000e+00
0.490000,9.482560513194e-01,1.436928053269e-03,9.482571400344e-01,5.275805902107e-01,0.000000000000e+00
0.500000,9.463234999644e-01,2.358328526742e-03,9.463264385498e-01,5.284044136189e-01,0.000000000000e+00
