t,Re_c,Im_c,abs_c,rho2,V_mem_x0
0.000000,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,4.737439579767e-01,0.000000000000e+00
0.010000,9.999375005469e-01,-9.999750000781e-03,9.999874999219e-01,4.737330496968e-01,0.000000000000e+00
0.020000,9.997500149997e-01,-1.999775007500e-02,9.999500000000e-01,4.736931611405e-01,0.000000000000e+00
0.030000,9.994375817923e-01,-2.999225067732e-02,9.998875011718e-01,4.736133999813e-01,0.000000000000e+00
0.040000,9.990002649717e-01,-3.998150302477e-02,9.998000049998e-01,4.734937981191e-01,0.000000000000e+00
0.050000,9.984381541836e-01,-4.996375947775e-02,9.996875136715e-01,4.733344033883e-01,0.000000000000e+00
0.060000,9.977513646527e-01,-5.993727392071e-02,9.995500299991e-01,4.731352795378e-01,0.000000000000e+00
0.070000,9.969400371567e-01,-6.990030214252e-02,9.993875574198e-01,4.728965062063e-01,0.000000000000e+00
0.080000,9.960043379954e-01,-7.985110221647e-02,9.992000999954e-01,4.726181788902e-01,0.000000000000e+00
0.090000,9.949444589534e-01,-8.978793487965e-02,9.989876624123e-01,4.723004089052e-01,0.000000000000e+00
0.100000,9.937606172575e-01,-9.970906391181e-02,9.987502499815e-01,4.719433233419e-01,0.000000000000e+00
0.110000,9.924530555284e-01,-1.096127565135e-01,9.984878686384e-01,4.715470650152e-01,0.000000000000e+00
0.120000,9.910220417266e-01,-1.194972836836e-01,9.982005249426e-01,4.711117924071e-01,0.000000000000e+00
0.130000,9.894678690928e-01,-1.293609205956e-01,9.978882260777e-01,4.706376796030e-01,0.000000000000e+00
0.140000,9.877908560828e-01,-1.392019469733e-01,9.975509798511e-01,4.701249162227e-01,0.000000000000e+00
0.150000,9.859913462963e-01,-1.490186474656e-01,9.971887946942e-01,4.695737073441e-01,0.000000000000e+00
0.160000,9.840697084008e-01,-1.588093120197e-01,9.968016796616e-01,4.689842734214e-01,0.000000000000e+00
0.170000,9.820263360492e-01,-1.685722362535e-01,9.963896444312e-01,4.683568501969e-01,0.000000000000e+00
0.180000,9.798616477926e-01,-1.783057218266e-01,9.959526993040e-01,4.676916886068e-01,0.000000000000e+00
0.190000,9.775760869867e-01,-1.880080768102e-01,9.954908552037e-01,4.669890546809e-01,0.000000000000e+00
0.200000,9.751701216936e-01,-1.976776160548e-01,9.950041236764e-01,4.662492294363e-01,0.000000000000e+00
0.210000,9.726442445773e-01,-2.073126615574e-01,9.944925168905e-01,4.654725087646e-01,0.000000000000e+00
0.220000,9.699989727941e-01,-2.169115428264e-01,9.939560476364e-01,4.646592033141e-01,0.000000000000e+00
0.230000,9.672348478778e-01,-2.264725972451e-01,9.933947293257e-01,4.638096383656e-01,0.000000000000e+00
0.240000,9.643524356188e-01,-2.359941704331e-01,9.928085759915e-01,4.629241537019e-01,0.000000000000e+00
0.250000,9.613523259386e-01,-2.454746166066e-01,9.921976022878e-01,4.620031034724e-01,0.000000000000e+00
0.260000,9.582351327581e-01,-2.549122989359e-01,9.915618234890e-01,4.610468560510e-01,0.000000000000e+00
0.270000,9.550014938616e-01,-2.643055899013e-01,9.909012554896e-01,4.600557938896e-01,0.000000000000e+00
0.280000,9.516520707541e-01,-2.736528716470e-01,9.902159148040e-01,4.590303133644e-01,0.000000000000e+00
