t,norm,peak,PR,R_rms
0.0,1.0000000000000002,1.4366969769095943,1.968662709604115,0.6123724353664733
0.0025,1.0000000000000004,1.4380008210543938,1.9681810206402166,0.6123641679736287
0.005,1.0000000000000009,1.4419173591483359,1.9667341145093915,0.6123393571626498
0.0075,1.0000000000000016,1.4484616028831563,1.9643164762340353,0.6122979769413102
0.01,1.000000000000002,1.4576585567493887,1.960918923115761,0.612239983672157
0.0125,1.0000000000000022,1.469543204653045,1.9565286174493794,0.6121653155942041
0.015,1.000000000000003,1.4841605090989816,1.9511290830382109,0.6120738921478684
0.0175,1.0000000000000029,1.5015654401805203,1.9447002244019738,0.6119656130976194
0.02,1.0000000000000036,1.5218230556206198,1.9372183474724467,0.611840357445049
0.0225,1.000000000000004,1.545008656513324,1.9286561805962248,0.6116979821232065
0.025,1.0000000000000049,1.5712080461720141,1.918982894798721,0.6115383204609425
0.0275,1.0000000000000049,1.6005179216053251,1.908164122492197,0.6113611804037201
0.03,1.0000000000000056,1.6330464286603485,1.8961619741212101,0.6111663424747651
0.0325,1.000000000000006,1.6689139128882577,1.882935052633088,0.610953557457571
0.035,1.0000000000000067,1.7082538988306397,1.8684384661681563,0.6107225437776204
0.0375,1.0000000000000067,1.751214330858338,1.8526238400502024,0.6104729845577856
0.04,1.0000000000000067,1.7979591091022251,1.835439330134046,0.6102045243182955
0.0425,1.0000000000000075,1.8486699545895702,1.8168296409971083,0.6099167652885337
0.045,1.0000000000000075,1.9035486386273557,1.7967360545620346,0.6096092632944685
0.0475,1.0000000000000082,1.9628196129181468,1.7750964777761638,0.6092815231824651
0.05,1.0000000000000087,2.0267330789741873,1.751845522265949,0.6089329937380316
0.0525,1.0000000000000087,2.0955685381610754,1.7269146347824071,0.6085630620572074
0.055,1.0000000000000093,2.1696388671013707,1.7002323051289814,0.6081710473296283
0.0575,1.0000000000000098,2.249294967003568,1.6717243884816475,0.6077561939968702
0.06,1.00000000000001,2.334931039351164,1.6413145918875283,0.6073176642590536
0.0625,1.000000000000011,2.4269905436000014,1.6089251904571813,0.6068545299190761
0.065,1.0000000000000115,2.5259728939922015,1.5744780573093535,0.606365763580409
0.0675,1.0000000000000115,2.632440950625894,1.5378961122447419,0.6058502292556371
0.07,1.0000000000000124,2.7470293520223805,1.4991053163236319,0.6053066725052397
0.0725,1.0000000000000129,2.870453718935449,1.4580373609056398,0.6047337103185945
0.075,1.0000000000000133,3.0035207267161184,1.41463321672694,0.6041298210846112
0.0775,1.0000000000000138,3.14713898849363,1.3688477156989582,0.6034933351957925
0.08,1.0000000000000144,3.3023306027780226,1.3206553272486599,0.6028224271118453
0.0825,1.0000000000000147,3.470243081284893,1.2700572512568606,0.6021151101118919
0.085,1.0000000000000147,3.6521611640649683,1.217089867391222,0.6013692355350223
0.08750000000000001,1.0000000000000153,3.849517719356007,1.1618344408683963,0.6005824991109725
