N,r,a_R,R0,Rfinal,deltaR
2,4.0,0.006948715907374629,1.9999999999999998,2.0180951776059834,0.01809517760598367
2,6.0,0.02451294933236016,3.0,2.984787146285002,-0.01521285371499781
2,8.0,0.0038406151472923605,3.9999999999999996,3.9797465041624513,-0.020253495837548208
4,4.0,-0.012541711929544388,4.47213595499958,4.459549526410244,-0.012586428589335341
4,6.0,-0.011469268192022377,6.708203932499369,6.671005179654979,-0.03719875284439045
4,8.0,-0.0066551972554983055,8.94427190999916,8.891641969445779,-0.05262994055338055
8,4.0,0.0029342798044532897,9.16515138991168,9.117765454865182,-0.04738593504649735
8,6.0,-0.005610956720356304,13.74772708486752,13.660728830598003,-0.0869982542695169
8,8.0,-0.01702145141858955,18.33030277982336,18.21883453380261,-0.111468246020749
12,4.0,-0.0028163354835267678,13.808210118138652,13.732715217153135,-0.07549490098551637
12,6.0,0.00136056459376095,20.71231517720798,20.58611413442041,-0.12620104278757083
12,8.0,-0.0009232925788590871,27.616420236277303,27.368597915335094,-0.24782232094220902
