t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,n_det_rho,n_raw_rho,n_pos,n_neg,n_raw_pos,n_raw_neg,n_inner,pair_sep,pair_sep_com,ax,ay,az,bx,by,bz,re_plus,re_minus,re_max,re_min,mass_plus,mass_minus,two_inner,nest3,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,N,dx
0.0,1.0,0.0013506621572893646,7436.783130487378,9.574362479340088,8.616843969807043,12.020815280171307,13.82931668593933,0.0,0.0,0.2945243112740431,9.42477796076938,0.09800655724181746,0.0,0.0,0.0,True,1,1,1,1,1,1,2,5.0,4.9620828468207705,-2.5,0.0,0.0,2.5,0.0,0.0,0.03675135585647643,-0.000897003234685319,0.03675135585647643,-0.000897003234685319,1.387361840432969,0.00011212540433566487,True,True,77,2.639170037117654,1.319585018558827,False,64,0.5
0.01,33.68318999423857,0.013039329375106538,16426.19706558463,15.845353152866167,15.604486534327235,19.1637678967368,20.83266665599966,0.001445033797493581,0.00012144804824342742,0.2945243112740431,9.42477796076938,0.9730559742500255,0.001290690067638282,3.3339162136311956e-06,3.33907987503391e-08,True,0,8608,0,0,9741,9250,0,nan,5.0611744398286245,-2.46778739402858,-0.031061772228813567,0.06475737531929227,2.589614405945877,-0.07286821565278956,-0.1260985003511852,0.07669010646774936,-0.06307571206271051,0.1053511954644479,-0.10472564183618013,1.5696378215842073,0.257941461977829,False,False,460,4.788760024594249,2.3943800122971246,False,64,0.5
0.02,66.22763404724714,0.02556468487403681,16382.235578619717,15.920023680638828,15.652475842498529,19.20286436967152,20.868636754709208,0.004938005961063406,0.0005240853550135942,0.2945243112740431,9.42477796076938,0.9863316354492632,0.006055281655953503,1.6597219419447696e-05,1.667028811675575e-07,True,0,8636,0,0,9655,9398,0,nan,5.035692029614275,-2.4471035049178926,-0.09553424748490258,0.14966965586247483,2.5787488635742193,-0.07375260346811885,-0.1642216425624632,0.114748174179136,-0.07357870308579476,0.14225966099329618,-0.15185392075122198,1.6832108469710767,0.42971083148889555,False,False,490,4.890678978553199,2.4453394892765994,False,64,0.5
0.03,99.03501397086818,0.03499243865100886,16423.016832988105,15.944162811863936,15.692354826475215,19.196353820452465,20.868636754709208,0.011601875555791324,0.0011823125258046117,0.2945243112740431,9.42477796076938,0.9908119282789898,0.013767602772821453,4.00109634204633e-05,4.030205302415589e-07,True,0,9074,0,0,9627,9569,0,nan,5.023096432930246,-2.426802345880894,-0.17745762068750537,0.22520755172472917,2.581429424601321,-0.1511561483302053,-0.16004631289050053,0.15657904891108473,-0.11788632524805737,0.1769383974645712,-0.16501760994347814,1.8606356673755051,0.546797475834297,False,False,791,5.737146740199256,2.868573370099628,False,64,0.5
0.04,131.63817998098244,0.05241687603012263,16442.2381955119,15.955725124726305,15.700318468107582,19.20286436967152,20.89258241577618,0.019636257960318728,0.002071202209838285,0.2945243112740431,9.42477796076938,0.9931597412129589,0.02389945922252681,7.35820642029477e-05,7.433006041911982e-07,True,0,8411,0,0,9778,9610,0,nan,4.957402507178012,-2.413051623047828,-0.2378556639493965,0.2647768795089043,2.5246734911691426,-0.19827728408627188,-0.17470448124857718,0.1632945045077539,-0.13164558824463005,0.21080513461651385,-0.1928882456037304,2.0130736410240218,0.6708720647422377,False,False,378,4.485398810155486,2.242699405077743,False,64,0.5
0.05,164.1181240540323,0.05750852732374548,16426.7002514775,15.967710557312596,15.700318468107582,19.20286436967152,20.886598574205422,0.032267464914138386,0.003167791016034209,0.2945243112740431,9.42477796076938,0.9945944954466486,0.03585169081184713,0.00011682843401542503,1.1835509307575815e-06,True,0,9111,0,0,9756,9658,0,nan,4.878201271447949,-2.356042380841309,-0.26441027448953314,0.2795622695003033,2.4995602079261374,-0.12965040149263274,-0.1696714350913222,0.1486511227278372,-0.17147534729988106,0.2176429062958719,-0.2078900035858043,2.1635896536457957,0.819770746298562,False,False,801,5.761222333793881,2.8806111668969403,False,64,0.5
0.06,196.77442352955012,0.07441704212435835,16428.03470599962,15.96725872621287,15.700318468107582,19.20286436967152,20.8806130178211,0.04619702760083965,0.004453844764829963,0.2945243112740431,9.42477796076938,0.9955618099761429,0.04918232654860566,0.00016942655727051047,1.7213208912681603e-06,True,0,8864,0,0,9760,9650,0,nan,4.796227859345671,-2.2587273102294922,-0.30323549479300205,0.2963340910711132,2.50846492691155,-0.07029289644325587,-0.17633661754092955,0.1758270451076697,-0.1890448949015539,0.26942655062975446,-0.2286227090668655,2.3506817988938713,0.9212544622624058,False,False,491,4.894003710357978,2.447001855178989,False,64,0.5
0.07,229.37788341818745,0.08675643363940795,16454.4748639054,15.982666332641509,15.724185193516387,19.215878850575635,20.89258241577618,0.061263257930523896,0.005911674039643294,0.2945243112740431,9.42477796076938,0.9961784424675115,0.06371132206847518,0.0002317414127142996,2.3611401084665694e-06,True,0,8834,0,0,9747,9701,0,nan,4.6731132368467545,-2.1447841620713586,-0.3865440912257405,0.30584612102746433,2.489750055894511,-0.07692938995177379,-0.20720226231553873,0.174859384466347,-0.19753352751381315,0.26591025119346834,-0.2527561739797633,2.4636349657183465,1.0375395817390853,False,False,507,4.946596091554254,2.473298045777127,False,64,0.5
0.08,261.96113658654565,0.09570090020828773,16443.4882602865,15.989214491423677,15.724185193516387,19.222382786741086,20.89258241577618,0.07671069608545483,0.007523590520801417,0.2945243112740431,9.42477796076938,0.9966653923775943,0.07884404642873946,0.0003025031457267025,3.090898124572421e-06,True,0,8986,0,0,9724,9664,0,nan,4.554395678188416,-2.0553330858228183,-0.49604148188832653,0.36147615874814676,2.44227049699661,-0.09921433527806478,-0.2356923442929375,0.22474564386516815,-0.16909738668977603,0.26738062839389853,-0.29347244239237735,2.5123728408921417,1.1664665341765756,False,False,631,5.320840616084194,2.660420308042097,False,64,0.5
0.09,294.48196136562973,0.10548086426717522,16457.981004195037,15.993135202398074,15.732132722552274,19.222382786741086,20.89258241577618,0.08929366462936603,0.009275812513160273,0.2945243112740431,9.42477796076938,0.9970398588700113,0.09461617079712463,0.00038250441352218187,3.919455107640688e-06,True,0,9065,0,0,9680,9631,0,nan,4.508454009709999,-2.0212314141747587,-0.5857139586391931,0.40382939056181044,2.410723758761293,-0.15181294754768082,-0.3002024377878083,0.23758271883608711,-0.1593898169992921,0.30963567899045086,-0.29160408309054675,2.6073119077027282,1.2317340000553043,False,False,691,5.484408720139679,2.7422043600698394,False,64,0.5
