snap,t,r,rho_shell
ic,0.0,0.28867513459481287,0.0027074664946282376
ic,0.0,0.8660254037844386,0.012197349858211828
ic,0.0,1.4433756729740643,0.013194909686557607
ic,0.0,2.02072594216369,0.00829377233985022
ic,0.0,2.598076211353316,0.004288072696463601
ic,0.0,3.1754264805429413,0.001996728496812901
ic,0.0,3.752776749732567,0.0007370865106844432
ic,0.0,4.330127018922193,0.0002312831341083317
ic,0.0,4.907477288111819,6.205597675810712e-05
ic,0.0,5.484827557301445,1.395649519352726e-05
ic,0.0,6.0621778264910695,2.67962386574261e-06
ic,0.0,6.639528095680696,4.460191449410634e-07
ic,0.0,7.216878364870322,6.291119052140483e-08
ic,0.0,7.794228634059947,7.171855163750597e-09
ic,0.0,8.371578903249572,6.912138327064855e-10
ic,0.0,8.948929172439199,5.874258872545145e-11
ic,0.0,9.526279441628825,4.351860665830224e-12
ic,0.0,10.103629710818451,2.797336944560118e-13
ic,0.0,10.680979980008075,1.4394044085906403e-14
ic,0.0,11.258330249197702,6.305954530762582e-16
ic,0.0,11.835680518387328,2.2052983532917097e-17
ic,0.0,12.413030787576954,7.060930201734946e-19
ic,0.0,12.990381056766578,1.8581858862794138e-20
ic,0.0,13.567731325956204,4.280694674013853e-22
ic,0.0,14.14508159514583,8.541150894014768e-24
ic,0.0,14.722431864335457,1.3059492346268619e-25
ic,0.0,15.299782133525081,1.819659143411173e-27
ic,0.0,15.877132402714707,2.179384864594463e-29
ic,0.0,16.45448267190433,2.2250483380967425e-31
ic,0.0,17.03183294109396,1.835608995870894e-33
ic,0.0,17.609183210283582,1.363287097593765e-35
ic,0.0,18.186533479473212,7.780496038540181e-38
ic,0.0,18.763883748662835,3.896243652996734e-40
ic,0.0,19.341234017852464,1.7286306193309913e-42
ic,0.0,19.918584287042087,6.115520244872903e-45
ic,0.0,20.495934556231717,2.2715307814847685e-47
ic,0.0,21.07328482542134,5.398114424088856e-50
ic,0.0,21.650635094610962,1.2698358741897995e-52
ic,0.0,22.22798536380059,2.411107590063983e-55
ic,0.0,22.805335632990214,4.0734668275017526e-58
ic,0.0,23.382685902179844,4.987296751555768e-61
ic,0.0,23.960036171369467,7.157808369542172e-64
ic,0.0,24.537386440559096,7.267911265798428e-67
ic,0.0,25.11473670974872,7.78290576011265e-70
ic,0.0,25.69208697893834,6.673979134976999e-73
ic,0.0,26.26943724812797,5.136748873690838e-76
ic,0.0,26.846787517317594,3.328883240652636e-79
ic,0.0,27.424137786507224,1.814906791739057e-82
t001,0.01,0.28867513459481287,0.004452862358587274
t001,0.01,0.8660254037844386,0.0126900948999901
t001,0.01,1.4433756729740643,0.014561682087596412
t001,0.01,2.02072594216369,0.00910170541643259
t001,0.01,2.598076211353316,0.00497237891891773
t001,0.01,3.1754264805429413,0.0031360703898643994
t001,0.01,3.752776749732567,0.001771724510980868
t001,0.01,4.330127018922193,0.0012563377219723536
t001,0.01,4.907477288111819,0.0010731859294068448
t001,0.01,5.484827557301445,0.001021012017629414
t001,0.01,6.0621778264910695,0.0010413775850640202
t001,0.01,6.639528095680696,0.0009716765937555247
t001,0.01,7.216878364870322,0.0010124024465569081
t001,0.01,7.794228634059947,0.0010216076151671782
t001,0.01,8.371578903249572,0.0009792848955502587
t001,0.01,8.948929172439199,0.0009972917869300736
t001,0.01,9.526279441628825,0.0009823693202524763
t001,0.01,10.103629710818451,0.0010201373225628347
t001,0.01,10.680979980008075,0.0009900015079545672
t001,0.01,11.258330249197702,0.0009992450489301054
t001,0.01,11.835680518387328,0.0009908130803650676
t001,0.01,12.413030787576954,0.0010041906244870125
t001,0.01,12.990381056766578,0.0009952312621316047
t001,0.01,13.567731325956204,0.0010046703600331097
t001,0.01,14.14508159514583,0.0009929063592502352
t001,0.01,14.722431864335457,0.0010049646528702736
t001,0.01,15.299782133525081,0.000988692528619325
t001,0.01,15.877132402714707,0.0009935070007448337
t001,0.01,16.45448267190433,0.000997125065019107
t001,0.01,17.03183294109396,0.001002985434303512
t001,0.01,17.609183210283582,0.0009867965867023
t001,0.01,18.186533479473212,0.0010011718232286915
t001,0.01,18.763883748662835,0.0009844519532257515
t001,0.01,19.341234017852464,0.0010072715708344924
t001,0.01,19.918584287042087,0.000995261565313409
t001,0.01,20.495934556231717,0.0010017541203743295
t001,0.01,21.07328482542134,0.0009956602503481621
t001,0.01,21.650635094610962,0.0009955397436017706
t001,0.01,22.22798536380059,0.0010056054872605424
t001,0.01,22.805335632990214,0.0009401492162613622
t001,0.01,23.382685902179844,0.0009835453377559976
t001,0.01,23.960036171369467,0.0010340194879861133
t001,0.01,24.537386440559096,0.0010338088680691302
t001,0.01,25.11473670974872,0.0009879703889905452
t001,0.01,25.69208697893834,0.0010236562319660238
t001,0.01,26.26943724812797,0.001093922207470752
t001,0.01,26.846787517317594,0.0009361376664111748
t001,0.01,27.424137786507224,0.0008130552823110986
t002,0.02,0.28867513459481287,0.005857980917680937
t002,0.02,0.8660254037844386,0.015439241103209938
t002,0.02,1.4433756729740643,0.015646085360623948
t002,0.02,2.02072594216369,0.010016229411915059
t002,0.02,2.598076211353316,0.0062242705731482325
t002,0.02,3.1754264805429413,0.003948585076201223
t002,0.02,3.752776749732567,0.0027030079749237428
t002,0.02,4.330127018922193,0.0022002725196570115
t002,0.02,4.907477288111819,0.0020910241526178137
t002,0.02,5.484827557301445,0.002077274208818932
t002,0.02,6.0621778264910695,0.002011281576795713
t002,0.02,6.639528095680696,0.0018804220429750975
t002,0.02,7.216878364870322,0.0019962770194324494
t002,0.02,7.794228634059947,0.0020161921368378544
t002,0.02,8.371578903249572,0.001979077169208584
t002,0.02,8.948929172439199,0.0019825163905985693
t002,0.02,9.526279441628825,0.001981070852860219
t002,0.02,10.103629710818451,0.002023581572270263
t002,0.02,10.680979980008075,0.0019387330824446123
t002,0.02,11.258330249197702,0.002057735470148875
t002,0.02,11.835680518387328,0.002049061043783621
t002,0.02,12.413030787576954,0.0019830053297937304
t002,0.02,12.990381056766578,0.0019944667813768975
t002,0.02,13.567731325956204,0.002038684820719238
t002,0.02,14.14508159514583,0.0019787941191004663
t002,0.02,14.722431864335457,0.002005461188172863
t002,0.02,15.299782133525081,0.0020063131084012273
t002,0.02,15.877132402714707,0.0019912020535262347
t002,0.02,16.45448267190433,0.0019520697664329478
t002,0.02,17.03183294109396,0.0019716861724309726
t002,0.02,17.609183210283582,0.0019818745522943463
t002,0.02,18.186533479473212,0.001973460827409406
t002,0.02,18.763883748662835,0.0019267795063738005
t002,0.02,19.341234017852464,0.0020052708244590136
t002,0.02,19.918584287042087,0.0019834882961570596
t002,0.02,20.495934556231717,0.0020268877977232635
t002,0.02,21.07328482542134,0.0019817669274656597
t002,0.02,21.650635094610962,0.0020038491154571523
t002,0.02,22.22798536380059,0.001981928399840626
t002,0.02,22.805335632990214,0.0019086684502377322
t002,0.02,23.382685902179844,0.002020953315860496
t002,0.02,23.960036171369467,0.0020241239502711765
t002,0.02,24.537386440559096,0.00214136200187196
t002,0.02,25.11473670974872,0.0020542948424097447
t002,0.02,25.69208697893834,0.001967103491092233
t002,0.02,26.26943724812797,0.002120841538519475
t002,0.02,26.846787517317594,0.001987113167166716
t002,0.02,27.424137786507224,0.001630627094569675
early,0.1,0.28867513459481287,0.021712507166456372
early,0.1,0.8660254037844386,0.01986157937590521
early,0.1,1.4433756729740643,0.02207296821510252
early,0.1,2.02072594216369,0.018688134642734448
early,0.1,2.598076211353316,0.014014222769675644
early,0.1,3.1754264805429413,0.011430795687752182
early,0.1,3.752776749732567,0.010651089224849506
early,0.1,4.330127018922193,0.009996857700591937
early,0.1,4.907477288111819,0.009731959503943193
early,0.1,5.484827557301445,0.010362552150198523
early,0.1,6.0621778264910695,0.009999703548883077
early,0.1,6.639528095680696,0.009852222071229485
early,0.1,7.216878364870322,0.009884226422413602
early,0.1,7.794228634059947,0.010069972540206237
early,0.1,8.371578903249572,0.009683576552587425
early,0.1,8.948929172439199,0.00978118843852389
early,0.1,9.526279441628825,0.009979025913394373
early,0.1,10.103629710818451,0.00986403476931632
early,0.1,10.680979980008075,0.009822533543421781
early,0.1,11.258330249197702,0.00994721629847875
early,0.1,11.835680518387328,0.010103637022079753
early,0.1,12.413030787576954,0.009954149237132622
early,0.1,12.990381056766578,0.009808468343930926
early,0.1,13.567731325956204,0.009907090091210371
early,0.1,14.14508159514583,0.010090346838636343
early,0.1,14.722431864335457,0.010062138519906024
early,0.1,15.299782133525081,0.010014246046096728
early,0.1,15.877132402714707,0.010020193849190642
early,0.1,16.45448267190433,0.009981917518491472
early,0.1,17.03183294109396,0.009856663490472392
early,0.1,17.609183210283582,0.009843392854947957
early,0.1,18.186533479473212,0.010089094279956788
early,0.1,18.763883748662835,0.009939086845411508
early,0.1,19.341234017852464,0.009990508309134505
early,0.1,19.918584287042087,0.009777755823387779
early,0.1,20.495934556231717,0.01004115361537899
early,0.1,21.07328482542134,0.00997470445969261
early,0.1,21.650635094610962,0.010061860403873205
early,0.1,22.22798536380059,0.009847240169499798
early,0.1,22.805335632990214,0.00994463786050001
early,0.1,23.382685902179844,0.009860265287990529
early,0.1,23.960036171369467,0.009840564102928521
early,0.1,24.537386440559096,0.010051850226133457
early,0.1,25.11473670974872,0.01006777741561324
early,0.1,25.69208697893834,0.010325303667318105
early,0.1,26.26943724812797,0.009212251726648597
early,0.1,26.846787517317594,0.011207858248112499
early,0.1,27.424137786507224,0.0088900396088635
mid,4.0,0.28867513459481287,0.2971744804856706
mid,4.0,0.8660254037844386,0.3334713795058553
mid,4.0,1.4433756729740643,0.3108295688212901
mid,4.0,2.02072594216369,0.31784094194534623
mid,4.0,2.598076211353316,0.3222110120627021
mid,4.0,3.1754264805429413,0.33895263689938987
mid,4.0,3.752776749732567,0.34180110677961706
mid,4.0,4.330127018922193,0.3309088434294706
mid,4.0,4.907477288111819,0.3340617350252182
mid,4.0,5.484827557301445,0.3236471284742736
mid,4.0,6.0621778264910695,0.3157022204563757
mid,4.0,6.639528095680696,0.32249860430094457
mid,4.0,7.216878364870322,0.32128097446452053
mid,4.0,7.794228634059947,0.32776696629460833
mid,4.0,8.371578903249572,0.3291070780888569
mid,4.0,8.948929172439199,0.3403126010082986
mid,4.0,9.526279441628825,0.331877398498428
mid,4.0,10.103629710818451,0.3306333990208809
mid,4.0,10.680979980008075,0.3185602037615993
mid,4.0,11.258330249197702,0.33466653307095634
mid,4.0,11.835680518387328,0.33123354954250267
mid,4.0,12.413030787576954,0.3285425265424112
mid,4.0,12.990381056766578,0.3299547972975011
mid,4.0,13.567731325956204,0.33404873695202136
mid,4.0,14.14508159514583,0.3255387638266464
mid,4.0,14.722431864335457,0.3277668964028889
mid,4.0,15.299782133525081,0.32508403300902633
mid,4.0,15.877132402714707,0.32818765166394226
mid,4.0,16.45448267190433,0.3274163025727807
mid,4.0,17.03183294109396,0.3263171386461624
mid,4.0,17.609183210283582,0.3344705886563999
mid,4.0,18.186533479473212,0.3335519307298308
mid,4.0,18.763883748662835,0.33111594936829564
mid,4.0,19.341234017852464,0.3292502267863985
mid,4.0,19.918584287042087,0.32890815886552877
mid,4.0,20.495934556231717,0.32761199087257936
mid,4.0,21.07328482542134,0.3260357759769239
mid,4.0,21.650635094610962,0.33461074138585645
mid,4.0,22.22798536380059,0.3366980827153667
mid,4.0,22.805335632990214,0.33916469870586424
mid,4.0,23.382685902179844,0.3264791446478174
mid,4.0,23.960036171369467,0.32967164765828083
mid,4.0,24.537386440559096,0.3250663680634813
mid,4.0,25.11473670974872,0.31455221738534256
mid,4.0,25.69208697893834,0.3393814287411781
mid,4.0,26.26943724812797,0.36769979075194975
mid,4.0,26.846787517317594,0.34272920922398903
mid,4.0,27.424137786507224,0.30927779663693467
late,8.0,0.28867513459481287,0.5920453379158798
late,8.0,0.8660254037844386,0.48705307288802296
late,8.0,1.4433756729740643,0.501035006053053
late,8.0,2.02072594216369,0.49160091611044693
late,8.0,2.598076211353316,0.4995186010314293
late,8.0,3.1754264805429413,0.43725115953431215
late,8.0,3.752776749732567,0.43612272267370206
late,8.0,4.330127018922193,0.49254615490317377
late,8.0,4.907477288111819,0.521983932143014
late,8.0,5.484827557301445,0.526046252156203
late,8.0,6.0621778264910695,0.5236120265099952
late,8.0,6.639528095680696,0.5245794495172712
late,8.0,7.216878364870322,0.5417116642975919
late,8.0,7.794228634059947,0.5685416199356685
late,8.0,8.371578903249572,0.5501072432125458
late,8.0,8.948929172439199,0.573597793383065
late,8.0,9.526279441628825,0.5773883997315191
late,8.0,10.103629710818451,0.5737124077239091
late,8.0,10.680979980008075,0.5714346627476672
late,8.0,11.258330249197702,0.5788866348652394
late,8.0,11.835680518387328,0.5613867530070639
late,8.0,12.413030787576954,0.5632611909046384
late,8.0,12.990381056766578,0.5576775027260307
late,8.0,13.567731325956204,0.5633060517897472
late,8.0,14.14508159514583,0.5634044771691582
late,8.0,14.722431864335457,0.561436225854676
late,8.0,15.299782133525081,0.5452921830658156
late,8.0,15.877132402714707,0.5425156059315825
late,8.0,16.45448267190433,0.5432452699804552
late,8.0,17.03183294109396,0.5365490742985216
late,8.0,17.609183210283582,0.5355492269891826
late,8.0,18.186533479473212,0.5382222295016721
late,8.0,18.763883748662835,0.5498024777307565
late,8.0,19.341234017852464,0.5448575929112645
late,8.0,19.918584287042087,0.5360873983560153
late,8.0,20.495934556231717,0.5562362809354808
late,8.0,21.07328482542134,0.549207897690944
late,8.0,21.650635094610962,0.5417218849448561
late,8.0,22.22798536380059,0.5433848165460263
late,8.0,22.805335632990214,0.5352214318183657
late,8.0,23.382685902179844,0.5485243150739455
late,8.0,23.960036171369467,0.5368881787905774
late,8.0,24.537386440559096,0.5684224701952684
late,8.0,25.11473670974872,0.5823213789527312
late,8.0,25.69208697893834,0.5517457048570842
late,8.0,26.26943724812797,0.5007377907772996
late,8.0,26.846787517317594,0.43734259931132835
late,8.0,27.424137786507224,0.47241575204009756
